"pers_no","action_type","reason_for_action","company_code","company_code_1","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","start_date_action","end_date_action","organizational_key","position","date"
10000574,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1580,"NZ Warehousing","Logistics","1/08/2011","28/02/2018","","Sustainability Manager","1/08/2011"
10000574,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1580,"NZ Warehousing","Supply Chain","1/08/2011","28/02/2018","Supply Chain","Sustainability Manager","1/08/2011"
10000575,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1300,"NZ Finance","Finance","22/08/2011","30/06/2016","","Financial Accountant","22/08/2011"
10000577,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1300,"NZ Finance","Finance","1/10/2011","31/01/2016","","Finance Director","1/10/2011"
10000579,"Rehire","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1300,"NZ Finance","Finance","13/08/2018","31/12/9999","Finance","Plant Controller","13/08/2018"
10000579,"Rehire","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1270,"NZ Manufacturing","Finance","13/08/2018","31/12/9999","Finance","Plant Controller","13/08/2018"
10000580,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1400,"NZ Admin","ACI Glass Packaging New Zealand","1/01/2012","31/10/2015","","General Manager - O-I New Zealand","1/01/2012"
10000581,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1355,"NZ Bus Sustainabilit","Human Resources","16/01/2012","11/09/2015","","Environmental Manager","16/01/2012"
10000581,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1290,"NZ HR & Training","Human Resources","16/01/2012","11/09/2015","","Environmental Manager","16/01/2012"
10000584,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","20/01/2014","13/07/2014","","Temporary Resorter","15/02/2012"
10000585,"Rehire","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1210,"NZ Mould Repairs","Forming Services","12/03/2018","31/12/9999","Manufacturing & Engineering","Forming Services Fitter/Toolmaker","12/03/2018"
10000587,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","12/03/2012","2/04/2015","","Account Manager","12/03/2012"
10000595,"Rehire","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1240,"NZ Maint - Machine","Machine Maintenance","23/05/2016","31/07/2016","","Machine Maintenance Fitter","23/05/2016"
10000598,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","16/07/2012","24/07/2015","","Account Manager","16/07/2012"
10000600,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1365,"NZ Marketing","Marketing","13/08/2012","17/06/2014","","Industry Marketing Manager","13/08/2012"
10000601,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","3/06/2014","2/08/2014","","Temporary Resorter","28/08/2012"
10000604,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1580,"NZ Warehousing","Purchasing","17/09/2012","28/10/2016","","Strategic Sourcing Manager","17/09/2012"
10000609,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","25/02/2013","31/03/2015","","Sales Executive","25/02/2013"
10000614,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1300,"NZ Finance","Finance","2/04/2013","14/12/2015","","Accounts Officer","2/04/2013"
10000615,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","3/06/2014","2/08/2014","","Temporary Resorter","15/04/2013"
10000615,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","5/01/2015","1/08/2015","","Temporary Resorter","15/04/2013"
10000616,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1120,"NZ Forming Services","Forming","18/04/2013","31/07/2015","","Forming Specialist","18/04/2013"
10000619,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","13/05/2013","1/12/2014","","Customer Service Supervisor","13/05/2013"
10000623,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1120,"NZ Forming Services","Forming","23/05/2013","31/12/9999","","Forming Specialist","23/05/2013"
10000623,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1120,"NZ Forming Services","Forming","23/05/2013","31/12/9999","Manufacturing & Engineering","Forming Specialist","23/05/2013"
10000626,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1220,"NZ Maint - General","Plant Maintenance","27/06/2016","31/07/2016","","Plant Maintenance Fitter","27/06/2016"
10000627,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","15/07/2013","27/07/2018","","Customer Service Officer","15/07/2013"
10000627,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales & Marketing","15/07/2013","27/07/2018","","Customer Service Officer","15/07/2013"
10000627,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales & Marketing","15/07/2013","27/07/2018","Commercial","Customer Service Officer","15/07/2013"
10000627,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales & Marketing","15/07/2013","27/07/2018","Supply Chain","Customer Service Officer","15/07/2013"
10000627,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Customer Service","15/07/2013","27/07/2018","Supply Chain","Customer Service Officer","15/07/2013"
10000629,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1160,"NZ Inspect","Finished Products D Shift","25/08/2013","26/07/2014","","Glass Technician","25/08/2013"
10000630,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1210,"NZ Mould Repairs","Forming Services","4/09/2013","6/07/2014","","Forming Services Fitter/Toolmaker","4/09/2013"
