"pers_no","action_type","reason_for_action","company_code","company_code_1","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","start_date_action","end_date_action","organizational_key","position","date"
3229,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4431,"PPG Regional Reports","Commercial","27/01/2014","15/03/2018","","Vice President Strategy & Integration","27/01/2014"
3229,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4308,"Strategy & Integrati","Commercial","27/01/2014","15/03/2018","","Vice President Strategy & Integration","27/01/2014"
3229,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4431,"PPG Regional Reports","Commercial","27/01/2014","15/03/2018","Strategy & Integration","Vice President Strategy & Integration","27/01/2014"
3229,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4431,"PPG Regional Reports","O-I Asia Pacific","27/01/2014","15/03/2018","Strategy & Integration","Vice President Strategy & Integration","27/01/2014"
3230,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne Day",7060,"MEL Integrated Syste","Integrated Systems and Risk","1/03/2014","10/04/2016","","Occupational Health and Safety Manager","1/03/2014"
3231,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","QLD - GPA - Staff","Brisbane Day",4270,"OIAP Manufacturing","O-I Brisbane Plant","10/02/2014","1/08/2014","","Manufacturing Graduate","10/02/2014"
3231,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","QLD - GPA - Staff","Brisbane Day",4270,"OIAP Manufacturing","Human Resources","10/02/2014","1/08/2014","","Manufacturing Graduate","10/02/2014"
3232,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4540,"OIAP Prodn Planning","National Planning","24/02/2014","31/05/2016","","Factory Planning Analyst","24/02/2014"
3233,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4300,"OI Financial Opers","Commercial Accounting","19/02/2014","3/11/2014","","Operations Accountant","19/02/2014"
3234,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Wages","Sydney Day",9230,"SYD Maint - Electric","Plant Electrical Sydney","24/02/2014","6/07/2014","","ELECTRICIAN","24/02/2014"
3234,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Wages","Sydney Day",9230,"SYD Maint - Electric","ELECTRICIAN","24/02/2014","6/07/2014","","ELECTRICIAN","24/02/2014"
3235,"Hire Contractor","New position",1000,"ACI Operations Pty Ltd","SA - GPA - Staff","Adelaide Day",4540,"OIAP Prodn Planning","National Planning","17/03/2014","30/05/2016","","Sales&Operations Planning Analyst-Wine","17/03/2014"
3237,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","NSW - GPA - Staff","Sydney Day",9818,"SYD SP41 MachineLine","ELECTRICAL PROCESS CONTROL MANAGER","17/03/2014","31/05/2014","","ELECTRICIAN","17/03/2014"
3238,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4365,"OIAP Market & Sales","Sales & Marketing","31/03/2014","31/12/2016","","Communications Manager","31/03/2014"
3238,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4290,"APAC HR & Training","Sales & Marketing","31/03/2014","31/12/2016","","Communications Manager","31/03/2014"
3239,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4460,"GOSC Fac Adv Eng","Plant Engineering","1/04/2014","31/10/2017","","Senior Electrical Engineer","1/04/2014"
3240,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","NSW - GPA - Staff","Sydney Day",4270,"OIAP Manufacturing","O-I Sydney Plant","7/04/2014","6/12/2015","","Manufacturing Graduate","7/04/2014"
3241,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Wages","Sydney Day",9818,"SYD SP41 MachineLine","ELECTRICIAN C6","7/04/2014","1/06/2014","","ELECTRICIAN C8","7/04/2014"
3241,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Wages","Sydney Day",9230,"SYD Maint - Electric","Plant Electrical Sydney","7/04/2014","1/06/2014","","ELECTRICIAN","7/04/2014"
3242,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6210,"BNE Mould Repair","Mould Repair","9/04/2014","6/07/2014","","Fitter","9/04/2014"
3243,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","SA - GPA - Wages","Adelaide Day",5140,"ADE Job Change","Job Change","5/05/2014","13/07/2014","","Job Change Team Member","5/05/2014"
3244,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","SA - GPA - Wages","Adelaide Shift",5003,"ADE Shift 3","UPM","21/04/2014","13/07/2014","","Shift Tradesperson","21/04/2014"
3244,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","SA - GPA - Wages","Adelaide Shift",5003,"ADE Shift 3","Plant Reliability","21/04/2014","13/07/2014","","Electrician","21/04/2014"
3245,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4302,"OI Shared Services","Commercial","18/04/2014","18/01/2016","","Credit Controller","18/04/2014"
3246,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","SA - GPA - Staff","Adelaide Day",5290,"ADE HR & Training","Human Resources","28/04/2014","21/05/2017","","HR and Training Advisor","28/04/2014"
3247,"Hire Employee","Non SAP company transfer",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4820,"OIAP Integrated Ops","Global Operations Support Centre","28/04/2014","28/02/2018","","VP Manufacturing & Engineering - Oceania","28/04/2014"
3247,"Hire Employee","Non SAP company transfer",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4431,"PPG Regional Reports","Global Operations Support Centre","28/04/2014","28/02/2018","","VP Manufacturing & Engineering - Oceania","28/04/2014"
3247,"Hire Employee","Non SAP company transfer",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4431,"PPG Regional Reports","Manufacturing and Engineering O-I AP","28/04/2014","28/02/2018","Manufacturing & Engineering","VP Manufacturing & Engineering - Oceania","28/04/2014"
3247,"Hire Employee","Non SAP company transfer",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4431,"PPG Regional Reports","Manufacturing and Engineering O-I AP","28/04/2014","28/02/2018","Manufacturing & Engineering","VP Operations","28/04/2014"
3248,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7260,"MEL Plant Reliabilit","Maintenance Day Trades","19/05/2014","6/07/2014","","C7 Electrician","19/05/2014"
3249,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Staff","Sydney Day",9290,"SYD HR & Training","Human Resources","12/05/2014","2/07/2018","","Human Resources Manager","12/05/2014"
3249,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Staff","Sydney Day",9290,"SYD HR & Training","Human Resources Business Partnering","12/05/2014","2/07/2018","Human Resources","Human Resources Manager","12/05/2014"
3250,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",NA,"","","19/05/2014","31/12/2015","","Regional Integrated Operations Analyst","19/05/2014"
3250,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4441,"Continuous Improvmt","Regional Integrated Operations","19/05/2014","31/12/2015","","Regional Integrated Operations Analyst","19/05/2014"
3251,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne Day",7290,"MEL HR & Training","Human Resources","2/06/2014","5/09/2014","","Human Resources and Training Advisor","2/06/2014"
3251,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne Day",7270,"MEL Manufacturing","Human Resources","2/06/2014","5/09/2014","","Human Resources and Training Advisor","2/06/2014"
3252,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4375,"AU Sales & Marketing","Sales & Marketing O-I Australia","2/06/2014","31/12/2014","","Pricing Coordinator","2/06/2014"
3253,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4375,"AU Sales & Marketing","Sales & Marketing O-I Australia","2/06/2014","16/06/2017","","Commercial Sales Analyst","2/06/2014"
3253,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBDAU",4375,"AU Sales & Marketing","Sales & Marketing O-I Australia","2/06/2014","16/06/2017","","Commercial Analyst","2/06/2014"
3254,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4490,"GOSC Oper Advance","Operational Advancement","10/06/2014","30/09/2014","","Director Operational Improvement","10/06/2014"
3255,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4305,"APAC Region Finance","Monthly Reporting and Planning","2/06/2014","19/07/2015","","Management Accountant","10/06/2014"
3255,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4300,"OI Financial Opers","Monthly Reporting and Planning","2/06/2014","19/07/2015","","Management Accountant","10/06/2014"
3256,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6210,"BNE Mould Repair","Mould Repair","2/06/2014","6/07/2014","","Fitter","2/06/2014"
3257,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6230,"BNE Maint - Electric","Electrical Services","16/06/2014","6/07/2014","","Electrician","16/06/2014"
3258,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6230,"BNE Maint - Electric","Electrical Services","16/06/2014","6/07/2014","","Electrician","16/06/2014"
3259,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6060,"BNE Integrated Syste","Integrated Systems and Risk","26/05/2014","6/07/2014","","Resort Operator","26/05/2014"
3260,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4330,"OIAP StrategSourcing","Procurement","16/06/2014","15/09/2014","","Procurement Specialist","16/06/2014"
3261,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","SA - GPA - Wages","Adelaide Shift",5001,"ADE Shift 1","Plant Reliability","7/07/2014","13/07/2014","","Electrician","7/07/2014"
3262,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","SA - GPA - Staff","Adelaide Day",4330,"OIAP StrategSourcing","Procurement","30/06/2014","30/06/2014","","Strategic Sourcing Coordinator","30/06/2014"
3263,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6580,"BNE Warehousing","Distribution - Queensland","7/07/2014","5/07/2015","","Goods Handler","7/07/2014"
3263,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Shift",6580,"BNE Warehousing","Distribution - Queensland","7/07/2014","5/07/2015","","Goods Handler","7/07/2014"
3264,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4375,"AU Sales & Marketing","Customer Services","8/07/2014","2/09/2018","","Contact Centre Sales Manager","8/07/2014"
3264,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBDAU",4375,"AU Sales & Marketing","Customer Services","8/07/2014","2/09/2018","Commercial","Contact Centre Sales Manager","8/07/2014"
3264,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBDAU",4375,"AU Sales & Marketing","Quantum_OTC","8/07/2014","2/09/2018","Commercial","OTC Deployment Champion","8/07/2014"
3265,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Shift",6580,"BNE Warehousing","Distribution - Queensland","4/08/2014","17/04/2015","","Goods Handler","4/08/2014"
3265,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6580,"BNE Warehousing","Distribution - Queensland","4/08/2014","17/04/2015","","Goods Handler","4/08/2014"
3266,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4305,"APAC Region Finance","Corporate Accounting","21/07/2014","14/02/2016","","Director Accounting and Compliance","21/07/2014"
3266,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4305,"APAC Region Finance","Corporate Accounting","21/07/2014","14/02/2016","","Tax and Treasury Manager","21/07/2014"
3267,"Hire Employee","Fill temporary absence",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4365,"OIAP Market & Sales","New Product Development","21/07/2014","15/03/2015","","Innovation & NPD Administrator","21/07/2014"
3268,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4301,"OIAP Joint Venture","Business Planning","11/08/2014","30/11/2016","","Strategic Program Manager","11/08/2014"
3268,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4400,"GPA General Manager","Business Planning","11/08/2014","30/11/2016","","Strategic Program Manager","11/08/2014"
3268,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4308,"Strategy & Integrati","Business Planning","11/08/2014","30/11/2016","","Director Strategic Programs","11/08/2014"
3269,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7260,"MEL Plant Reliabilit","IS Repair","11/08/2014","9/08/2015","","Mechanical Fitter Apprentice","11/08/2014"
3270,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6060,"BNE Integrated Syste","Integrated Systems and Risk","25/08/2014","25/08/2014","","Resort Operator","25/08/2014"
3271,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Shift",7815,"MEL MB41 MachineLine","UPM4 D Shift","25/08/2014","1/01/2017","","G4 Multiskilled Operator","25/08/2014"
3272,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4810,"OIAP InformationTech","Service Desk AP","28/07/2014","30/09/2015","","IT Support Specialist","28/07/2014"
3273,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Staff","Sydney Day",9290,"SYD HR & Training","Human Resources","8/09/2014","16/10/2016","","HR & TRAINING ADVISOR","8/09/2014"
3273,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Staff","Sydney Day",4290,"APAC HR & Training","Human Resources O-I Asia Pacific","8/09/2014","16/10/2016","","Talent Development Specialist","8/09/2014"
3274,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","SA - GPA - Staff","Adelaide Day",5160,"ADE Inspect","Integrated Systems & Risk","20/08/2014","31/10/2014","","OH&S Manager","20/08/2014"
3275,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7260,"MEL Plant Reliabilit","General Maintenace","8/09/2014","19/11/2016","","mechanical Fitter","8/09/2014"
3276,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7260,"MEL Plant Reliabilit","General Maintenace","8/09/2014","2/07/2017","","Mechanical Fitter","8/09/2014"
3276,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7260,"MEL Plant Reliabilit","General Maintenace","8/09/2014","2/07/2017","","C6 Mechanical Fitter","8/09/2014"
3276,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7140,"MEL Job Change","General Maintenace","8/09/2014","2/07/2017","","C6 Mechanical Fitter","8/09/2014"
3277,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7260,"MEL Plant Reliabilit","General Maintenace","8/09/2014","3/07/2016","","Mechanical Fitter","8/09/2014"
3277,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7260,"MEL Plant Reliabilit","General Maintenace","8/09/2014","3/07/2016","","C7 Mechanical Fitter","8/09/2014"
3278,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4300,"OI Financial Opers","Commercial","3/09/2014","11/01/2019","","Credit Officer","3/09/2014"
3278,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4302,"OI Shared Services","Commercial","3/09/2014","11/01/2019","","Credit Officer","3/09/2014"
3278,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBDAU",4302,"OI Shared Services","Commercial","3/09/2014","11/01/2019","","Credit Officer","3/09/2014"
3278,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBDAU",4302,"OI Shared Services","Shared Services","3/09/2014","11/01/2019","Finance","Credit Officer","3/09/2014"
3279,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6260,"BNE Plant Reliabilit","Plant Reliability","22/09/2014","5/07/2015","","Mechanical Apprentice","22/09/2014"
3279,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6260,"BNE Plant Reliabilit","Plant Reliability","22/09/2014","5/07/2015","","Mechanical Apprentice","22/09/2014"
3280,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne Day",7270,"MEL Manufacturing","Human Resources","29/09/2014","30/04/2016","","Human Resources and Training Advisor","29/09/2014"
3281,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6230,"BNE Maint - Electric","Electrical Services","7/10/2014","5/07/2015","","Electrician","7/10/2014"
3281,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6230,"BNE Maint - Electric","Inspection & Packaging Engineering","7/10/2014","5/07/2015","","Electrician","7/10/2014"
3281,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6250,"BNE Maint - Cold End","Inspection & Packaging Engineering","7/10/2014","5/07/2015","","Electrician","7/10/2014"
3282,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7260,"MEL Plant Reliabilit","General Maintenace","13/10/2014","2/07/2017","","Mechanical Fitter","13/10/2014"
3282,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7260,"MEL Plant Reliabilit","General Maintenace","13/10/2014","2/07/2017","","C8 Mechanical Fitter","13/10/2014"
3282,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7240,"MEL Maint - Machine","IS Repair","13/10/2014","2/07/2017","","IS Fitter","13/10/2014"
3283,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Day",7230,"MEL Maint - Electric","Electrical Maintenance","13/10/2014","2/07/2017","","C7 Electrician","13/10/2014"
3284,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne Day",4350,"OIAP Cullet Supply","Operational Advancement","1/10/2014","24/05/2015","","Manufacturing Org Effectiveness SME","1/10/2014"
3285,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6230,"BNE Maint - Electric","Electrical Services","20/10/2014","5/07/2015","Manufacturing & Engineering","Electrician","20/10/2014"
3286,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6210,"BNE Mould Repair","Mould Repair","20/10/2014","5/07/2015","","Fitter","20/10/2014"
3287,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Staff","Brisbane Day",4270,"OIAP Manufacturing","Human Resources","3/11/2014","14/08/2016","","Manufacturing Graduate","3/11/2014"
3288,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne Shift",7060,"MEL Integrated Syste","Integrated Systems and Risk","3/11/2014","31/12/2015","","Shift Manager 4","3/11/2014"
3290,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne Day",7220,"MEL Maint - General","Plant Reliability","20/10/2014","31/08/2015","","Assistant Batch & Furnace Manager","20/10/2014"
3291,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Staff","Brisbane Day",6300,"BNE Business Service","Business Services","10/11/2014","25/10/2016","","Plant Controller","10/11/2014"
3292,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4300,"OI Financial Opers","Commercial Accounting","13/11/2014","16/01/2015","","Operations Accountant","13/11/2014"
3293,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6230,"BNE Maint - Electric","Electrical Services","1/12/2014","5/07/2015","","Electrician","1/12/2014"
3293,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6230,"BNE Maint - Electric","Inspection & Packaging Engineering","1/12/2014","5/07/2015","","Electrician","1/12/2014"
3293,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6250,"BNE Maint - Cold End","Inspection & Packaging Engineering","1/12/2014","5/07/2015","Manufacturing & Engineering","Electrician","1/12/2014"
3294,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Staff","Brisbane Day",6060,"BNE Integrated Syste","Integrated Systems and Risk","15/12/2014","10/04/2016","","Inspection and Packaging Coordinator","15/12/2014"
3295,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Shift",7170,"MEL Pack","Pack Centre","15/12/2014","5/07/2015","","G2 General Plant Operator","15/12/2014"
3295,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Shift",7170,"MEL Pack","Integrates Systems and Risk C Shift","15/12/2014","5/07/2015","","G2 General Plant Operator","15/12/2014"
3296,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Wages","Sydney Day",9210,"SYD Mould Repair","Mould Repair","15/12/2014","5/07/2015","Manufacturing & Engineering","Inspector Toolmaker","15/12/2014"
3298,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6220,"BNE Maint - General","Inspection & Packaging Engineering","5/01/2015","20/03/2015","","Fitter","5/01/2015"
3299,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Wages","Sydney Day",9290,"SYD HR & Training","Plant Reliability Sydney","19/01/2015","5/07/2015","","Electrician Apprentice","19/01/2015"
3301,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Day",6210,"BNE Mould Repair","Mould Repair","2/02/2015","5/07/2015","","Fitter","2/02/2015"
3302,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Staff","Sydney Day",9020,"SYD Unit PlntMrg SP1","Forming Job Change","2/02/2015","30/06/2015","","UPM","2/02/2015"
3303,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4540,"OIAP Prodn Planning","Supply Chain","28/01/2015","31/10/2015","","National Logistics Manager","28/01/2015"
3304,"Hire Employee","Non SAP company transfer",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4540,"OIAP Prodn Planning","O-I Australia","2/02/2015","9/09/2016","","Demand Planner","2/02/2015"
3304,"Hire Employee","Non SAP company transfer",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",4375,"AU Sales & Marketing","Sales & Marketing O-I Australia","2/02/2015","9/09/2016","","Demand Planner","2/02/2015"
3304,"Hire Employee","Non SAP company transfer",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne CBD",NA,"","","2/02/2015","9/09/2016","","Integration: default position","2/02/2015"
3305,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Staff","Melbourne Day",7220,"MEL Maint - General","Batch & Furnace","2/02/2015","31/03/2017","","Batch & Furnace Manager","2/02/2015"
3307,"Hire Employee","New position",1000,"ACI Operations Pty Ltd","QLD - GPA - Wages","Brisbane Shift",6813,"BNE QG32 MachineLine","B Shift","16/02/2015","5/07/2015","","PRODUCTION OPERATOR B SHIFT","16/02/2015"
3308,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","SA - GPA - Staff","Adelaide Day",4810,"OIAP InformationTech","Applications","1/03/2015","31/12/9999","","Analyst Developer, Industrial IT","1/03/2015"
3308,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","SA - GPA - Staff","Adelaide Day",4810,"OIAP InformationTech","Information Technology O-I AP","1/03/2015","31/12/9999","Information Technology","Analyst Developer, Industrial IT","1/03/2015"
3308,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","SA - GPA - Staff","Adelaide Day",4810,"OIAP InformationTech","IT Operations","1/03/2015","31/12/9999","Information Technology","Analyst Developer, Industrial IT","1/03/2015"
3309,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Wages","Sydney Shift",9210,"SYD Mould Repair","Mould Repair","27/02/2015","5/07/2015","","GENERAL PLANT OPERATOR","27/02/2015"
3310,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Wages","Sydney Day",9220,"SYD Maint - General","","9/03/2015","5/07/2015","","ELECTRICIAN","9/03/2015"
3310,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","NSW - GPA - Wages","Sydney Day",9220,"SYD Maint - General","Plant Mechanical Sydney","9/03/2015","5/07/2015","","ELECTRICIAN","9/03/2015"
3311,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","VIC - GPA - Wages","Melbourne Shift",7210,"MEL Mould Repair","Mould Repair","11/03/2015","5/07/2015","","C8 Fitter","11/03/2015"
3312,"Hire Employee","Fill vacancy",1000,"ACI Operations Pty Ltd","QLD - GPA - Staff","Brisbane Day",6290,"BNE HR & Training","Human Resources","11/03/2015","22/01/2018","","HR and Training Advisor","11/03/2015"
