"pers_no","action_type","reason_for_action","co_cd","company_code","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","date","turnover","turn_abs"
10000595,"Rehire","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1240,"NZ Maint - Machine","Machine Maintenance","23/05/2016",1,1
10000598,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","16/07/2012",1,1
10000600,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1365,"NZ Marketing","Marketing","13/08/2012",1,1
10000601,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","28/08/2012",1,1
10000604,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1580,"NZ Warehousing","Purchasing","17/09/2012",1,1
10000609,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","25/02/2013",1,1
10000614,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1300,"NZ Finance","Finance","2/04/2013",1,1
10000615,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","15/04/2013",1,1
10000616,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1120,"NZ Forming Services","Forming","18/04/2013",1,1
10000619,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","13/05/2013",1,1
10000623,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1120,"NZ Forming Services","Forming","23/05/2013",1,1
10000626,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1220,"NZ Maint - General","Plant Maintenance","27/06/2016",1,1
10000627,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","15/07/2013",1,1
10000627,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales & Marketing","15/07/2013",1,1
10000627,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Customer Service","15/07/2013",1,1
10000629,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1160,"NZ Inspect","Finished Products D Shift","25/08/2013",1,1
10000630,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1210,"NZ Mould Repairs","Forming Services","4/09/2013",1,1
10000631,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1220,"NZ Maint - General","Plant Maintenance","16/09/2013",1,1
10000632,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1210,"NZ Mould Repairs","Forming Services","11/11/2013",1,1
10000633,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1160,"NZ Inspect","Finished Products B Shift","11/11/2013",1,1
10000634,"Hire Employee","Fill temporary absence",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","25/11/2013",1,1
10000634,"Rehire","Fill temporary absence",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1580,"NZ Warehousing","Purchasing","15/04/2015",1,1
10000635,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1160,"NZ Inspect","Finished Products C Shift","2/12/2013",1,1
10000636,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1270,"NZ Manufacturing","Manufacturing","9/12/2013",1,1
10000636,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1270,"NZ Manufacturing","Unit Plant Management","9/12/2013",1,1
10000637,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1210,"NZ Mould Repairs","Forming Services","9/12/2013",1,1
10000638,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Wages Other",1580,"NZ Warehousing","Supply Chain","8/01/2014",1,1
10000639,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1365,"NZ Marketing","Marketing","28/01/2014",1,1
10000639,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales & Marketing","28/01/2014",1,1
