Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr code,Cost Center,Organizational Unit,Date,Turnover,TurnABS
00002363,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,E Shift,25/02/2006,-1,1
00002365,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6110,BNE Melt,Batch & Furnace,10/01/2005,-1,1
00002366,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,13/11/2013,-1,1
00002367,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,Stock Control,28/07/2006,-1,1
00002368,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Cash Management,17/03/2007,-1,1
00002369,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4455,OIAP Facilities CAD,Facilities CAD,20/11/2004,-1,1
00002374,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4811,OIAP IT Computer Ops,Information Technology,18/09/2004,-1,1
00002375,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Cash Management,7/10/2006,-1,1
00002376,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9330,SYD Procurement,Business Services,15/11/2013,-1,1
00002378,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,9/11/2013,-1,1
00002379,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6230,BNE Maint - Electric,Electrical Services,26/10/2013,-1,1
00002380,Termination (HR checklist),Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,IT Operations,1/09/2016,-1,1
00002381,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Corporate Accounting,21/12/2004,-1,1
00002382,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Cash Management,30/04/2005,-1,1
00002383,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9290,SYD HR & Training,Human Resources,21/12/2013,-1,1
00002384,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6270,BNE Manufacturing,Occupational Health & Safety,1/07/2010,-1,1
00002385,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,10/06/2017,-1,1
00002388,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Applications,2/07/2013,-1,1
00002389,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4812,OIAP IT Applic Dev,Information Technology,14/10/2006,-1,1
00002390,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4811,OIAP IT Computer Ops,Infrastructure,27/10/2007,-1,1
00002392,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6110,BNE Melt,Batch & Furnace,30/05/2007,-1,1
00002393,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,13/11/2013,-1,1
00002394,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,30/05/2010,-1,1
00002395,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5300,ADE Business Service,Business Services,11/04/2014,-1,1
00002396,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Information Technology,17/08/2005,-1,1
00002398,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Service Desk AP,20/06/2018,-1,1
00002399,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4812,OIAP IT Applic Dev,Applications,13/09/2008,-1,1
00002400,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Information Technology,6/08/2005,-1,1
00002402,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7210,MEL Mould Repair,Mould Repair,31/05/2006,-1,1
00002405,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Glass Technology,28/01/2006,-1,1
00002406,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Analytical Services,28/01/2006,-1,1
00002408,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6580,BNE Warehousing,Distribution - Queensland,11/11/2006,-1,1
00002410,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9230,SYD Maint - Electric,Plant Electrical Sydney,19/01/2014,-1,1
00002411,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,12/11/2013,-1,1
00002412,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6004,BNE Shift 4,D Shift,22/10/2012,-1,1
00002415,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7270,MEL Manufacturing,Occupational Health & Safety,8/10/2011,-1,1
00002416,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Information Technology,13/08/2005,-1,1
00002418,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5290,ADE HR & Training,Human Resources,27/06/2008,-1,1
00002419,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,Pack Centre,20/07/2017,-1,1
00002422,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial Accounting,1/01/2011,-1,1
00002423,Termination (HR checklist),Deceased,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5330,ADE Procurement,Business Services,28/01/2012,-1,1
00002424,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Information Technology,10/08/2010,-1,1
00002425,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5130,ADE Forming,E Shift,24/09/2005,-1,1
00002427,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5140,ADE Job Change,Job Change,2/10/2014,-1,1
00002430,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4330,OIAP StrategSourcing,Procurement,1/07/2006,-1,1
00002431,Auto Terminations,Non SAP Company Transfer,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4350,OIAP Cullet Supply,Operational Advancement,1/01/2016,-1,1
00002432,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7300,MEL Business Service,Business Services,15/07/2006,-1,1
00002433,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7300,MEL Business Service,Business Services,16/05/2006,-1,1
00002434,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7160,MEL Inspect,Inspection & Packaging,30/07/2011,-1,1
00002435,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5290,ADE HR & Training,Human Resources Business Partnering,1/02/2018,-1,1
00002436,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5240,ADE Maint - Machine,Mould and Machine Maintenance,29/11/2014,-1,1
00002437,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,O-I Asia Pacific,1/04/2012,-1,1
00002438,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,13/11/2013,-1,1
00002439,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4330,OIAP StrategSourcing,Procurement,19/03/2014,-1,1
00002440,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources O-I Asia Pacific,6/04/2007,-1,1
00002442,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial Accounting,8/04/2006,-1,1
00002444,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6270,BNE Manufacturing,Occupational Health & Safety,4/07/2013,-1,1
00002445,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Information Technology,28/02/2015,-1,1
00002447,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4375,AU Sales & Marketing,Sales & Marketing O-I Australia,1/04/2016,-1,1
00002448,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9260,SYD Plant Reliabilit,Engineering,8/03/2006,-1,1
00002449,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9190,SYD Resort,Stock Control,5/04/2007,-1,1
00002451,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7002,MEL Shift 2,B Shift,29/11/2011,-1,1
00002452,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7300,MEL Business Service,Business Services,23/06/2010,-1,1
00002453,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6290,BNE HR & Training,Human Resources,3/07/2017,-1,1
00002455,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7270,MEL Manufacturing,Customer Technical Services,31/05/2012,-1,1
00002456,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5260,ADE Plant Reliabilit,Engineering,25/02/2006,-1,1
00002457,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9330,SYD Procurement,Business Services,19/11/2005,-1,1
00002458,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7280,MEL Cust Tech Serv,Customer Technical Services,16/06/2007,-1,1
00002459,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,C Shift,14/11/2005,-1,1
00002461,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources O-I Asia Pacific,15/05/2008,-1,1
00002462,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6300,BNE Business Service,Business Services,3/03/2007,-1,1
00002465,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Analytical Services,27/01/2007,-1,1
00002466,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Glass Technology,21/02/2007,-1,1
00002468,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6005,BNE Shift 5,E Shift,24/04/2012,-1,1
00002469,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6001,BNE Shift 1,A Shift,18/03/2010,-1,1
00002473,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Plant Mechanical Sydney,13/11/2013,-1,1
00002474,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9290,SYD HR & Training,Engineering,1/10/2009,-1,1
00002476,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9110,SYD Melt,Batch & Furnace,28/06/2008,-1,1
00002477,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,,,,23/03/2006,-1,1
00002479,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7290,MEL HR & Training,Human Resources,30/04/2011,-1,1
00002480,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7260,MEL Plant Reliabilit,Engineering Services,9/08/2008,-1,1
00002481,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Corporate Accounting,18/03/2006,-1,1
00002482,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial,1/09/2006,-1,1
00002483,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9330,SYD Procurement,Business Services,8/09/2007,-1,1
00002484,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,IT Operations,18/07/2015,-1,1
00002485,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7110,MEL Melt,Batch & Furnace,18/03/2009,-1,1
00002486,Termination (HR checklist),Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial Accounting,13/03/2006,-1,1
00002487,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7290,MEL HR & Training,Human Resources,8/04/2010,-1,1
00002488,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6210,BNE Mould Repair,Mould Repair,1/07/2006,-1,1
00002489,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6230,BNE Maint - Electric,Electrical Services,21/08/2010,-1,1
00002490,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6230,BNE Maint - Electric,Electrical Services,4/12/2010,-1,1
00002492,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,IT Operations,12/10/2013,-1,1
00002493,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4446,Reg SupplyChain Proc,Strategic Sourcing,4/07/2018,-1,1
00002494,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4270,OIAP Manufacturing,Human Resources O-I Asia Pacific,2/07/2015,-1,1
00002495,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial Accounting,1/03/2008,-1,1
00002496,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4330,OIAP StrategSourcing,Procurement,12/06/2010,-1,1
00002497,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9200,SYD Decorate & Label,ACL Printing,30/05/2015,-1,1
00002503,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9110,SYD Melt,Batch & Furnace,20/06/2006,-1,1
00002507,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4540,OIAP Prodn Planning,National Planning,19/09/2007,-1,1
00002508,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4490,GOSC Oper Advance,Analytical Services,1/06/2013,-1,1
00002509,Termination (HR checklist),Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4455,OIAP Facilities CAD,Facilities CAD,17/06/2006,-1,1
00002510,Termination (HR checklist),Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7270,MEL Manufacturing,Occupational Health & Safety,4/11/2012,-1,1
00002511,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7270,MEL Manufacturing,Occupational Health & Safety,31/05/2012,-1,1
00002512,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7270,MEL Manufacturing,Occupational Health & Safety,31/05/2012,-1,1
00002513,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7270,MEL Manufacturing,Occupational Health & Safety,15/07/2007,-1,1
00002528,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9290,SYD HR & Training,Human Resources,10/05/2008,-1,1
00002529,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4330,OIAP StrategSourcing,Procurement,29/10/2010,-1,1
00002530,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6300,BNE Business Service,Business Services,18/05/2013,-1,1
00002531,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5003,ADE Shift 3,UPM,21/04/2014,-1,1
00002534,Auto Terminations,Abandonment,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6260,BNE Plant Reliabilit,Mechanical Services,22/07/2006,-1,1
00002535,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7270,MEL Manufacturing,Occupational Health & Safety,31/05/2012,-1,1
00002538,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9200,SYD Decorate & Label,ACL Printing,12/09/2015,-1,1
00002540,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7300,MEL Business Service,Business Services,25/12/2008,-1,1
00002541,Termination (HR checklist),Non SAP company transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Corporate Accounting,1/07/2008,-1,1
00002542,Termination (HR checklist),Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7270,MEL Manufacturing,Occupational Health & Safety,29/06/2013,-1,1
00002543,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9003,SYD Shift 3,C Shift,13/11/2013,-1,1
00002544,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5110,ADE Melt,Batch and Furnace,31/03/2011,-1,1
00002546,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6001,BNE Shift 1,A Shift,27/04/2012,-1,1
00002549,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5260,ADE Plant Reliabilit,Engineering,11/09/2008,-1,1
00002550,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Cash Management,8/04/2008,-1,1
00002552,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,A Shift,30/10/2006,-1,1
00002554,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5004,ADE Shift 4,D Shift,15/10/2014,-1,1
00002556,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4812,OIAP IT Applic Dev,Applications,14/04/2007,-1,1
00002559,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,E Shift,14/12/2006,-1,1
00002561,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,4375,AU Sales & Marketing,Sales NSW,31/07/2010,-1,1
00002563,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7813,MEL MB33 MachineLine,UPM3 C Shift,27/01/2014,-1,1
00002564,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,D Shift,11/12/2006,-1,1
00002566,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,E Shift,14/11/2006,-1,1
00002567,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,22/11/2007,-1,1
00002568,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7120,MEL Forming Services,D Shift,11/11/2006,-1,1
00002569,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7120,MEL Forming Services,B Shift,11/11/2006,-1,1
00002570,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,C Shift,14/11/2006,-1,1
00002571,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6580,BNE Warehousing,Distribution - Queensland,16/12/2006,-1,1
00002572,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4361,OIAP NPD/Innovation,New Product Development,1/02/2011,-1,1
00002574,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Applications,1/11/2014,-1,1
00002577,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Quality Services,10/01/2007,-1,1
00002578,Auto Terminations,Abandonment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,3/01/2007,-1,1
00002580,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,20/01/2007,-1,1
00002581,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,B Shift,10/07/2012,-1,1
00002583,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7270,MEL Manufacturing,Occupational Health & Safety,31/05/2012,-1,1
00002584,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6240,BNE Maint - Machine,Forming Maintenance,9/10/2010,-1,1
00002585,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7170,MEL Pack,Pack Centre,3/10/2015,-1,1
00002586,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7120,MEL Forming Services,E Shift,21/05/2007,-1,1
00002588,Termination (HR checklist),Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources O-I Asia Pacific,13/01/2007,-1,1
00002590,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,28/01/2014,-1,1
00002592,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Quality Services,12/01/2008,-1,1
00002593,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,14/11/2007,-1,1
00002594,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5210,ADE Mould Repair,Mould Repair,4/02/2010,-1,1
00002595,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9300,SYD Business Service,Business Services,13/12/2008,-1,1
00002596,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4475,OIAP Analytical Serv,Analytical Services,28/07/2007,-1,1
00002597,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7290,MEL HR & Training,Human Resources,7/03/2011,-1,1
00002598,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,D Shift,11/05/2007,-1,1
00002600,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7140,MEL Job Change,Hot End Job Change Team,27/04/2019,-1,1
00002601,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,E Shift,27/04/2007,-1,1
00002602,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7180,MEL Audit,Integrates Systems and Risk B Shift,1/02/2016,-1,1
00002603,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,A Shift,14/05/2008,-1,1
00002604,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7160,MEL Inspect,B Shift,25/04/2007,-1,1
00002605,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7816,MEL MB42 MachineLine,UPM4A Shift,16/07/2014,-1,1
