"location","positive","negative","ratio"
"Adelaide",114,1,0.87719298245614
"Brisbane",230,55,23.9130434782609
"Jakarta",210,45,21.4285714285714
"Melbourne",337,62,18.3976261127596
"Other",794,13,1.63727959697733
"Sydney",175,20,11.4285714285714
