"location","positive","negative","ratio"
"Adelaide",121,8,6.61157024793388
"Brisbane",233,14,6.00858369098712
"Jakarta",248,36,14.5161290322581
"Melbourne",315,18,5.71428571428571
"Other",829,6,0.723763570566948
"Sydney",198,8,4.04040404040404
