Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action,End date Action,Organizational Key,Position,Date,Time in role
1,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Jakarta,4296,OIAP Expatriates,Commercial O-I Asia Pacific,1/10/2012,20/12/2018,Commercial,VP Sales & Marketing,17/12/1997,2271
15,Promotion,Promotion,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Sales & Marketing,1/01/2008,28/02/2014,,General Manager Sales and Marketing,9/10/1989,2250
15,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Jakarta,4296,OIAP Expatriates,O-I Asia Pacific,1/03/2014,1/08/2019,Commercial,"General Director, O-I BJC Vietnam Glass",9/10/1989,1979
16,Promotion,Promotion,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Strategy and Integration O-I AP,1/08/2011,1/08/2019,Strategy & Integration,VP Strategy & Integration,20/05/1996,2922
288,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9816,SYD SP32 MachineLine,A Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,21/02/1994,2216
290,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,C Shift,7/07/2013,4/03/2016,,MULTI SKILLED OPERATOR,28/08/1989,971
293,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,8/09/1998,2216
295,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,GENERAL PLANT OPERATOR,16/10/1988,2216
297,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9816,SYD SP32 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,16/10/1988,2216
299,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9810,SYD SP11 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,15/07/1996,2216
304,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9220,SYD Maint - General,Plant Mechanical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,Fitter,15/04/1996,2216
305,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,7/07/2013,1/08/2019,Manufacturing & Engineering,Mechanical Trades Special Class,8/05/1995,2216
312,Promotion,No reason specified,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,Cold End Job Change,7/07/2013,24/05/2014,,G5 Cold End Job Change Crew,26/08/1985,321
312,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,A Shift,25/05/2014,6/12/2015,,MULTI SKILLED G4,26/08/1985,560
312,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,D Shift,7/12/2015,1/08/2019,Manufacturing & Engineering,PROCESS SPECIALIST,26/08/1985,1333
316,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9810,SYD SP11 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,4/12/1995,2216
320,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,B Shift,7/07/2013,23/06/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,4/08/1992,2177
320,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,B Shift,7/01/2019,23/06/2019,Manufacturing & Engineering,Multi Skilled Operator,4/08/1992,167
322,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,22/02/1981,2216
328,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9816,SYD SP32 MachineLine,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,12/07/1999,2216
332,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Quality Services,7/07/2013,1/07/2018,,TRAINEE MULTI SKILLED OPERATOR,21/08/1983,1820
332,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Audit,3/07/2017,1/08/2019,Manufacturing & Engineering,Quality Controller,21/08/1983,759
333,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9811,SYD SP12 MachineLine,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,14/12/1998,2216
335,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9810,SYD SP11 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,18/10/1995,2216
336,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9816,SYD SP32 MachineLine,D Shift,3/07/2011,1/08/2019,Manufacturing & Engineering,LINE LEADER,13/04/1986,2951
345,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,PROCESS SPECIALIST,27/08/1989,2216
353,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,5/03/1990,2216
354,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,7/07/2013,16/01/2015,,GENERAL PLANT OPERATOR,30/10/1989,558
358,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9060,SYD Integrated Syste,Customer Technical Services,5/02/2012,31/07/2017,Manufacturing & Engineering,Technical Services Representative,11/09/1989,2003
359,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,A Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,18/04/1993,2216
362,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Production Support,21/03/2011,1/08/2019,Manufacturing & Engineering,Cold End Coord & Inspection Specialist,18/07/1994,3055
368,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9811,SYD SP12 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,PROCESS SPECIALIST,7/03/1993,2216
369,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9816,SYD SP32 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,multi skilled operator,6/11/1989,2216
370,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,PROCESS SPECIALIST,17/08/1992,2216
373,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,30/10/1989,2216
378,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9060,SYD Integrated Syste,Manufacturing,1/01/2012,31/03/2015,,Pack Centre Manager,18/01/1993,1185
378,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Quality Services Sydney,1/04/2015,1/08/2019,Manufacturing & Engineering,Quality Services Manager,18/01/1993,1583
379,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Production Line Management 1,1/01/2012,1/08/2019,Manufacturing & Engineering,Line Manager,19/02/1990,2769
380,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9230,SYD Maint - Electric,Plant Electrical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,ELECTRICIAN,14/11/1994,2216
384,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,GENERAL PLANT OPERATOR,16/10/1988,2216
390,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,PROCESS SPECIALIST,6/09/1993,2216
394,Promotion,Transfer,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5120,ADE Forming Services,Line Development,5/09/2011,30/09/2014,,Line Manager AD52,9/08/1992,1121
394,Promotion,Classification Change,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Shift,5030,ADE Unit PlntMrg AD6,Shift A,1/10/2014,1/08/2019,Manufacturing & Engineering,Shift Manager,9/08/1992,1765
396,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Job Change,7/07/2013,1/08/2019,Manufacturing & Engineering,H/E JOB CHANGE CREW,1/09/1980,2216
400,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Forming,6/02/2011,1/08/2019,Manufacturing & Engineering,Forming Specialist,5/12/1998,3098
402,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9816,SYD SP32 MachineLine,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,Line Leader,13/07/1998,2216
403,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9110,SYD Melt,Batch & Furnace,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,25/06/1989,2216
408,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Mechanical Sydney,7/07/2013,2/07/2017,,MECHANIC,24/02/1982,1456
408,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,4/07/2016,1/08/2019,Manufacturing & Engineering,Mechanical Trades Special Class,24/02/1982,1123
409,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,A Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,27/11/1989,2216
413,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,Audit,7/07/2013,1/08/2019,Manufacturing & Engineering,AUDIT,16/04/1989,2216
416,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,10/08/1992,2216
418,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,29/09/1986,2216
420,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9220,SYD Maint - General,Plant Mechanical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,Mechanical Trades Special Trades,27/06/1994,2216
429,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,Audit,7/07/2013,1/08/2019,Manufacturing & Engineering,AUDIT,28/06/1987,2216
430,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9811,SYD SP12 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,4/09/1989,2216
431,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9030,SYD Unit PlntMrg SP3,Manufacturing,3/04/2013,30/04/2015,,Unit Plant Manager,11/12/1989,757
431,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,4320,OIAP Manuf Ops,Commercial,1/05/2015,31/10/2016,,"Forming Operations Manager, Australia",11/12/1989,549
431,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Forming,1/11/2016,1/08/2019,Manufacturing & Engineering,Forming Manager,11/12/1989,1003
433,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Production Line Management 1,1/10/2007,1/08/2019,Manufacturing & Engineering,Line Manager,6/07/1999,4322
434,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Plant Mechanical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,MECHANIC,17/02/1986,2216
435,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9810,SYD SP11 MachineLine,A Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,PROCESS SPECIALIST,21/01/1994,2216
438,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9810,SYD SP11 MachineLine,A Shift,1/12/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,6/07/1999,2069
442,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,GENERAL PLANT OPERATOR,10/10/1988,2216
448,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9810,SYD SP11 MachineLine,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,3/11/1985,2216
449,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,9/03/1981,2216
457,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9220,SYD Maint - General,Plant Mechanical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,Mechanical Trades Special Trades,20/01/1997,2216
459,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Maintenance-Cold End,7/02/2010,4/09/2016,,LSS Black Belt,21/06/1993,2401
459,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9050,SYD Production Suppo,Manufacturing,5/09/2016,30/06/2018,Manufacturing & Engineering,Production Support Manager,21/06/1993,663
459,Transfer,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,4490,GOSC Oper Advance,Operational Advancement,1/07/2018,1/08/2019,Manufacturing & Engineering,Operational Capability Manager – ANZ.,21/06/1993,396
460,Promotion,Transfer,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5160,ADE Inspect,Integrated Systems & Risk,1/09/2013,1/03/2015,,Integrated Systems and Risk Manager,12/12/1988,546
460,Promotion,Promotion,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4320,OIAP Manuf Ops,Customer Technical Services Australia,2/03/2015,31/05/2016,,Mgr Customer Tech. Services Australia,12/12/1988,456
460,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9060,SYD Integrated Syste,O-I Sydney Plant,1/06/2016,11/04/2017,,Integrated Systems & Risk Manager,12/12/1988,314
461,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9230,SYD Maint - Electric,Plant Electrical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,ELECTRICIAN,2/01/1990,2216
464,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,22/04/1998,2216
470,Promotion,Classification Change,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,O-I Sydney Plant,1/01/2014,31/05/2015,,LSS Black Belt,20/01/1992,515
470,Promotion,Classification Change,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9050,SYD Production Suppo,Plant Maintenance Sydney,1/06/2015,31/05/2016,,Machine Maintenance Manager,20/01/1992,365
470,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,4490,GOSC Oper Advance,Forming Engineering,1/06/2016,1/08/2019,Manufacturing & Engineering,IS Machine Engineer,20/01/1992,1156
472,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9810,SYD SP11 MachineLine,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,PROCESS SPECIALIST,27/07/1987,2216
473,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9810,SYD SP11 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,30/08/1987,2216
480,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Job Change,7/07/2013,1/08/2019,Manufacturing & Engineering,H/E JOB CHANGE CREW,24/08/1992,2216
481,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,D Shift,7/07/2013,15/01/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,3/05/1982,2018
484,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,D Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,13/11/1988,2216
486,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,General Plant Operator,18/05/1986,2216
487,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9240,SYD Maint - Machine,Plant Mechanical Sydney,7/07/2013,2/07/2017,,MECHANIC,12/12/1988,1456
487,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9240,SYD Maint - Machine,Plant Maintenance Sydney,4/07/2016,1/08/2019,Manufacturing & Engineering,Mechanical Trades Special Class,12/12/1988,1123
489,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6810,BNE QG12 MachineLine,Unit Plant QG12,1/07/2013,1/08/2019,Manufacturing & Engineering,PRODUCTION OPERATOR D SHIFT,23/01/1996,2222
499,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,8/12/1986,2216
501,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,10/08/1992,2216
505,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,7/07/2013,1/08/2019,Manufacturing & Engineering,Fitter,30/06/1985,2216
506,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5814,ADE AD51 MachineLine,D Shift,1/07/2013,17/02/2019,Manufacturing & Engineering,G7 Line Leader,20/11/1989,2057
506,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5814,ADE AD51 MachineLine,Shift D,19/02/2018,1/08/2019,Manufacturing & Engineering,Line Leader,20/11/1989,528
507,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,Audit,7/07/2013,1/08/2019,Manufacturing & Engineering,AUDIT,25/09/1989,2216
508,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Plant Mechanical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,MECHANIC Lead Hand,22/02/1993,2216
509,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,7/07/2013,1/07/2018,,Mechanical Trades Special Trades,1/02/1999,1820
509,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,3/07/2017,1/08/2019,Manufacturing & Engineering,Mechanical Trades Special Class,1/02/1999,759
511,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9811,SYD SP12 MachineLine,C Shift,7/07/2013,2/07/2017,,TRAINEE LINE LEADER,9/03/1981,1456
511,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9811,SYD SP12 MachineLine,C Shift,2/01/2017,1/08/2019,Manufacturing & Engineering,LINE LEADER,9/03/1981,941
517,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,24/08/1992,2216
521,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9816,SYD SP32 MachineLine,D Shift,7/07/2013,12/04/2014,,TRAINEE LINE LEADER,15/02/1996,279
521,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,D Shift,13/04/2014,1/08/2019,Manufacturing & Engineering,LINE LEADER,15/02/1996,1936
523,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9220,SYD Maint - General,Plant Mechanical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,MECHANIC,29/06/1992,2216
528,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,ELECTRICIAN,15/05/1989,2216
531,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9811,SYD SP12 MachineLine,B Shift,7/07/2013,2/07/2017,,MULTI SKILLED OPERATOR,19/02/1990,1456
531,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9811,SYD SP12 MachineLine,B Shift,2/01/2017,1/08/2019,Manufacturing & Engineering,Process Specialist,19/02/1990,941
532,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9300,SYD Business Service,Business Services,1/08/2002,31/03/2015,,PROCUREMENT COOORDINATOR,15/05/1978,4625
532,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,4330,OIAP StrategSourcing,Procurement,1/04/2015,1/08/2019,Supply Chain,Mould Planning & Procurement Coordinator,15/05/1978,1583
533,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,7/07/2013,1/07/2018,,Mechanical Trades Special Class L H,17/04/1989,1820
533,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,3/07/2017,1/08/2019,Manufacturing & Engineering,Mechanical Trades Special Class,17/04/1989,759
538,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Plant Mechanical Sydney,7/07/2013,1/08/2019,Manufacturing & Engineering,MECHANIC,14/08/1989,2216
540,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,A Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,24/08/1992,2216
541,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,7/07/2013,4/09/2016,,Mechanical Trades Special Trades,16/01/1995,1155
541,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Plant Maintenance Sydney,5/09/2016,1/08/2019,Manufacturing & Engineering,Machine Maintenance Manager,16/01/1995,1060
543,Promotion,Promotion,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Forming,9/01/2011,1/08/2019,Manufacturing & Engineering,Forming Specialist,19/07/1993,3126
544,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,10/08/1992,2216
550,Promotion,No reason specified,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9020,SYD Unit PlntMrg SP1,Forming Job Change,21/11/2011,18/01/2015,,UPM,13/02/1989,1154
550,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9050,SYD Production Suppo,Manufacturing,19/01/2015,4/09/2016,,Production Support Manager,13/02/1989,594
