Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action,End date Action,Organizational Key,Position,Date,Time in role
2575,Promotion,Promotion,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6270,BNE Manufacturing,O-I Brisbane Plant,1/08/2017,1/08/2019,Manufacturing & Engineering,Plant Manager,30/10/2006,730
2576,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7140,MEL Job Change,Hot End Job Change Team,1/07/2013,1/08/2019,Manufacturing & Engineering,G5 Job Change Crew,20/11/2006,2222
2579,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Job Change,7/07/2013,16/06/2019,Manufacturing & Engineering,G5 Hot End Job Change Crew,27/11/2006,2170
2579,Transfer,No reason specified,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,Pack Centre,17/06/2019,1/08/2019,Manufacturing & Engineering,Multi Skilled Operator,27/11/2006,45
2582,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,7/07/2013,6/12/2015,,Cold End Job Change Crew,27/11/2006,882
2582,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9816,SYD SP32 MachineLine,C Shift,7/12/2015,1/08/2019,Manufacturing & Engineering,PROCESS SPECIALIST,27/11/2006,1333
2585,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7170,MEL Pack,Pack Centre,1/07/2013,2/10/2015,,G5 Process Specialist,2/01/2007,823
2587,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7816,MEL MB42 MachineLine,Shift B,1/07/2013,1/08/2019,Manufacturing & Engineering,G5 Process Specialist,2/01/2007,2222
2589,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Job Change,7/07/2013,1/08/2019,Manufacturing & Engineering,H/E JOB CHANGE CREW,22/01/2007,2216
2590,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,4/04/2010,27/01/2014,,ELECTRICIAN,22/01/2007,1394
