"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
376,"Auto Terminations","Illness Disability","C Shift",2008-01-26,-1,1,"Sydney",2008
377,"Auto Terminations","Retrenchment(2008+)","D Shift",2013-11-13,-1,1,"Sydney",2013
381,"Auto Terminations","Retrenchment(2008+)","Mould Repair",2013-11-13,-1,1,"Sydney",2013
382,"Auto Terminations","Resignation","Batch & Furnace",2004-01-23,-1,1,"Sydney",2004
386,"Auto Terminations","Resignation","Engineering",2002-02-17,-1,1,"Sydney",2002
391,"Auto Terminations","Resignation","Machine Maintenance",2007-08-18,-1,1,"Sydney",2007
392,"Auto Terminations","Retrenchment(2008+)","C Shift",2013-11-13,-1,1,"Sydney",2013
393,"Auto Terminations","Retrenchment(2008+)","A Shift",2013-11-13,-1,1,"Sydney",2013
398,"Auto Terminations","Retrenchment(2008+)","Plant Electrical Sydney",2013-11-30,-1,1,"Sydney",2013
399,"Auto Terminations","Retrenchment(2008+)","Cold End Job Change",2013-11-13,-1,1,"Sydney",2013
401,"Auto Terminations","Retrenchment(2008+)","Plant Maintenance Sydney",2013-11-13,-1,1,"Sydney",2013
404,"Auto Terminations","Illness Disability","Batch & Furnace",2008-07-18,-1,1,"Sydney",2008
406,"Termination (HR checklist)","Retrenchment","Maintenance-Cold End",2013-03-17,-1,1,"Sydney",2013
407,"Auto Terminations","Resignation","Cold End Job Change",2004-03-13,-1,1,"Sydney",2004
410,"Auto Terminations","Dismissal","D Shift",2002-08-22,-1,1,"Sydney",2002
411,"Auto Terminations","Resignation","B Shift",2005-02-05,-1,1,"Sydney",2005
412,"Auto Terminations","Illness Disability","B Shift",2005-05-06,-1,1,"Sydney",2005
417,"Auto Terminations","Retirement","Stock Control",2010-10-02,-1,1,"Sydney",2010
419,"Termination (HR checklist)","Retrenchment","Cold End Job Change",2011-08-29,-1,1,"Sydney",2011
419,"Termination (HR checklist)","Retrenchment","",2011-08-29,-1,1,"Sydney",2011
421,"Auto Terminations","Resignation","Engineering",2011-10-15,-1,1,"Sydney",2011
423,"Auto Terminations","Retrenchment(Don't Use)","A Shift",2013-11-12,-1,1,"Sydney",2013
425,"Termination (HR checklist)","Retrenchment","Machine Maintenance",2011-10-30,-1,1,"Sydney",2011
425,"Termination (HR checklist)","Retrenchment","",2011-10-30,-1,1,"Sydney",2011
426,"Auto Terminations","Retrenchment(2008+)","A Shift",2013-11-12,-1,1,"Sydney",2013
427,"Auto Terminations","Dismissal","A Shift",2004-07-11,-1,1,"Sydney",2004
428,"Auto Terminations","Illness Disability","D Shift",2008-01-26,-1,1,"Sydney",2008
432,"Auto Terminations","Resignation","B Shift",2004-09-03,-1,1,"Sydney",2004
439,"Auto Terminations","Resignation","Mould Repair",2011-03-26,-1,1,"Sydney",2011
440,"Auto Terminations","Illness Disability","Forming Job Change",2006-07-21,-1,1,"Sydney",2006
441,"Auto Terminations","Resignation","A Shift",2004-01-29,-1,1,"Sydney",2004
444,"Auto Terminations","Resignation","B Shift",2003-05-10,-1,1,"Sydney",2003
446,"Auto Terminations","Resignation","A Shift",2003-02-01,-1,1,"Sydney",2003
447,"Auto Terminations","Dismissal","Mould Repair",2010-07-11,-1,1,"Sydney",2010
450,"Auto Terminations","Resignation","B Shift",2002-01-25,-1,1,"Sydney",2002
452,"Auto Terminations","Illness Disability","B Shift",2006-07-22,-1,1,"Sydney",2006
453,"Auto Terminations","Retrenchment(2008+)","C Shift",2013-11-13,-1,1,"Sydney",2013
454,"Auto Terminations","Retrenchment(2008+)","C Shift",2013-11-13,-1,1,"Sydney",2013
455,"Auto Terminations","Resignation","Business Services",2006-09-15,-1,1,"Sydney",2006
458,"Auto Terminations","Retrenchment(2008+)","Plant Electrical Sydney",2013-11-15,-1,1,"Sydney",2013
460,"Auto Terminations","Dismissal","O-I Sydney Plant",2017-04-12,-1,1,"Sydney",2017
462,"Auto Terminations","Resignation","Engineering",2000-01-15,-1,1,"Sydney",2000
466,"Auto Terminations","Resignation","D Shift",2001-12-13,-1,1,"Sydney",2001
467,"Auto Terminations","Retrenchment(2008+)","D Shift",2013-11-13,-1,1,"Sydney",2013
468,"Auto Terminations","Resignation","B Shift",2006-10-29,-1,1,"Sydney",2006
471,"Auto Terminations","Resignation","Plant Procedures & Specifications (ISO)",2005-06-18,-1,1,"Sydney",2005
475,"Auto Terminations","Resignation","C Shift",2009-10-03,-1,1,"Sydney",2009
476,"Termination (HR checklist)","Retrenchment","Maintenance-Cold End",2011-12-07,-1,1,"Sydney",2011
477,"Auto Terminations","Resignation","A Shift",2013-04-25,-1,1,"Sydney",2013
478,"Auto Terminations","Retrenchment(2008+)","Batch & Furnace",2013-12-29,-1,1,"Sydney",2013
481,"Auto Terminations","Retirement","D Shift",2019-01-16,-1,1,"Sydney",2019
482,"Auto Terminations","Resignation","Stock Control",2007-07-08,-1,1,"Sydney",2007
485,"Auto Terminations","Resignation","Plant Procedures & Specifications (ISO)",2002-03-09,-1,1,"Sydney",2002
488,"Auto Terminations","Illness Disability","A Shift",2007-09-15,-1,1,"Sydney",2007
490,"Auto Terminations","Retrenchment(2008+)","Plant Electrical Sydney",2013-11-28,-1,1,"Sydney",2013
491,"Auto Terminations","Dismissal","A Shift",2009-07-05,-1,1,"Sydney",2009
493,"Auto Terminations","Resignation","Business Services",2001-11-14,-1,1,"Sydney",2001
494,"Auto Terminations","Retrenchment(2008+)","Plant Mechanical Sydney",2013-11-13,-1,1,"Sydney",2013
495,"Termination (HR checklist)","Resignation","Maintenance-Cold End",2013-03-25,-1,1,"Sydney",2013
500,"Auto Terminations","Illness Disability","Forming Job Change",2006-07-21,-1,1,"Sydney",2006
502,"Auto Terminations","Resignation","A Shift",2002-02-20,-1,1,"Sydney",2002
504,"Auto Terminations","Retrenchment(2008+)","A Shift",2013-11-13,-1,1,"Sydney",2013
513,"Termination (HR checklist)","Retrenchment","Machine Maintenance",2011-10-22,-1,1,"Sydney",2011
513,"Termination (HR checklist)","Retrenchment","",2011-10-22,-1,1,"Sydney",2011
516,"Termination (HR checklist)","Retrenchment","Maintenance-Cold End",2011-08-29,-1,1,"Sydney",2011
519,"Auto Terminations","Resignation","Mould Repair",2005-03-24,-1,1,"Sydney",2005
522,"Auto Terminations","Resignation","C Shift",2008-09-26,-1,1,"Sydney",2008
524,"Auto Terminations","Retirement","Mould Repair",2007-12-14,-1,1,"Sydney",2007
525,"Auto Terminations","Retrenchment(2008+)","B Shift",2013-11-13,-1,1,"Sydney",2013
530,"Auto Terminations","Retrenchment(2008+)","B Shift",2013-11-13,-1,1,"Sydney",2013
534,"Auto Terminations","Retrenchment(2008+)","A Shift",2013-11-12,-1,1,"Sydney",2013
535,"Auto Terminations","Resignation","Stock Control",2007-08-11,-1,1,"Sydney",2007
537,"Termination (HR checklist)","Retrenchment","Machine Maintenance",2012-11-17,-1,1,"Sydney",2012
537,"Termination (HR checklist)","Retrenchment","",2012-11-17,-1,1,"Sydney",2012
539,"Auto Terminations","Dismissal","Forming Job Change",2011-12-07,-1,1,"Sydney",2011
542,"Termination (HR checklist)","Resignation","C Shift",2000-05-31,-1,1,"Sydney",2000
546,"Auto Terminations","Retirement","Mould Repair",2010-09-04,-1,1,"Sydney",2010
548,"Auto Terminations","Retrenchment(2008+)","Plant Electrical Sydney",2013-11-13,-1,1,"Sydney",2013
549,"Termination (HR checklist)","Retrenchment","Maintenance-Cold End",2011-10-30,-1,1,"Sydney",2011
550,"Auto Terminations","Resignation","Production Line Management 2",2018-10-20,-1,1,"Sydney",2018
551,"Auto Terminations","Illness Disability","B Shift",2008-01-25,-1,1,"Sydney",2008
552,"Auto Terminations","Resignation","C Shift",2012-07-01,-1,1,"Sydney",2012
555,"Auto Terminations","Retrenchment(2008+)","Batch & Furnace",2013-12-29,-1,1,"Sydney",2013
556,"Auto Terminations","Resignation","D Shift",2015-09-07,-1,1,"Sydney",2015
558,"Auto Terminations","Resignation","Engineering",2003-02-01,-1,1,"Sydney",2003
559,"Auto Terminations","Dismissal","D Shift",2018-10-04,-1,1,"Sydney",2018
563,"Auto Terminations","Resignation","Mould Repair",2006-07-08,-1,1,"Sydney",2006
569,"Auto Terminations","Dismissal","C Shift",2006-07-21,-1,1,"Sydney",2006
570,"Auto Terminations","Resignation","Forming Job Change",2003-12-25,-1,1,"Sydney",2003
