"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
2966,"Auto Terminations","Resignation","Sales & Marketing",2011-04-09,-1,1,"Sydney",2011
2968,"Auto Terminations","Retirement","O-I Australia",2014-01-01,-1,1,"Melbourne",2014
2974,"Auto Terminations","Resignation","D Shift",2010-11-15,-1,1,"Melbourne",2010
2975,"Auto Terminations","Retirement","Commercial Accounting",2012-12-15,-1,1,"Melbourne",2012
2976,"Auto Terminations","Resignation","Applications",2012-10-04,-1,1,"Melbourne",2012
2977,"Auto Terminations","Resignation","Procurement",2012-07-21,-1,1,"Melbourne",2012
2978,"Auto Terminations","Resignation","Human Resources Business Partnering",2017-10-11,-1,1,"Melbourne",2017
2980,"Auto Terminations","Resignation","Manufacturing",2011-02-01,-1,1,"Melbourne",2011
2981,"Auto Terminations","Resignation","Cold End Job Change",2018-11-09,-1,1,"Melbourne",2018
2982,"Auto Terminations","Resignation","Regional Integrated Operations",2012-08-01,-1,1,"Melbourne",2012
2986,"Auto Terminations","Resignation","Mould Repair",2013-03-29,-1,1,"Adelaide",2013
2988,"Auto Terminations","Dismissal","Unit Plant QG3",2017-08-09,-1,1,"Brisbane",2017
2990,"Auto Terminations","Retrenchment(2008+)","Human Resources O-I Asia Pacific",2014-08-09,-1,1,"Melbourne",2014
2992,"Auto Terminations","Abandonment","Engineering",2012-04-21,-1,1,"Brisbane",2012
2994,"Auto Terminations","Dismissal","E Shift",2011-02-10,-1,1,"Melbourne",2011
2995,"Auto Terminations","Resignation","Pricing",2012-06-30,-1,1,"Melbourne",2012
2997,"Auto Terminations","Resignation","Analytical Services",2012-08-16,-1,1,"Melbourne",2012
2999,"Auto Terminations","Resignation","Service Desk AP",2011-06-10,-1,1,"Melbourne",2011
3002,"Auto Terminations","Dismissal","E Shift",2011-01-14,-1,1,"Melbourne",2011
3003,"Auto Terminations","Illness Disability","Occupational Health & Safety",2014-11-12,-1,1,"Melbourne",2014
3008,"Auto Terminations","Resignation","Applications",2011-08-02,-1,1,"Melbourne",2011
3009,"Auto Terminations","Resignation","Batch & Furnace",2012-06-02,-1,1,"Brisbane",2012
3013,"Auto Terminations","Resignation","Human Resources O-I Asia Pacific",2014-10-04,-1,1,"Melbourne",2014
3014,"Auto Terminations","Contract Expired","Analytical Services",2011-12-31,-1,1,"Melbourne",2011
3016,"Auto Terminations","Resignation","Electrical Maintenance",2015-01-17,-1,1,"Melbourne",2015
3020,"Termination (HR checklist)","Contract Expired","Corporate Accounting",2011-02-19,-1,1,"Melbourne",2011
3021,"Termination (HR checklist)","Contract Expired","Service Desk AP",2011-02-05,-1,1,"Melbourne",2011
3022,"Auto Terminations","Dismissal","Mechanical Services",2011-04-09,-1,1,"Brisbane",2011
3023,"Auto Terminations","Retrenchment(2008+)","E Shift",2014-10-02,-1,1,"Adelaide",2014
3025,"Auto Terminations","Retrenchment(2008+)","D Shift",2014-10-02,-1,1,"Adelaide",2014
3026,"Auto Terminations","Resignation","Mould Repair",2011-03-02,-1,1,"Sydney",2011
3027,"Auto Terminations","Retrenchment(2008+)","D Shift",2014-10-02,-1,1,"Adelaide",2014
3029,"Auto Terminations","Resignation","Mould Repair",2018-09-28,-1,1,"Brisbane",2018
3030,"Auto Terminations","Resignation","Plant Reliability",2013-11-02,-1,1,"Brisbane",2013
3031,"Auto Terminations","Resignation","Mechanical Services",2011-06-23,-1,1,"Brisbane",2011
3032,"Auto Terminations","Resignation","Electrical Services",2013-10-10,-1,1,"Brisbane",2013
3035,"Auto Terminations","Dismissal","Mould Repair",2015-01-17,-1,1,"Sydney",2015
3036,"Auto Terminations","Non SAP Company Transfer","Glass and Materials Advancement",2016-10-17,-1,1,"Melbourne",2016
3037,"Auto Terminations","Resignation","National Planning",2011-07-09,-1,1,"Melbourne",2011
3038,"Auto Terminations","Retrenchment(2008+)","Strategy and Integration O-I AP",2018-12-19,-1,1,"Melbourne",2018
3039,"Auto Terminations","Abandonment","Human Resources",2013-03-11,-1,1,"Melbourne",2013
3041,"Termination (HR checklist)","Resignation","Shift C",2018-07-22,-1,1,"Melbourne",2018
3042,"Auto Terminations","Resignation","A Shift",2011-10-14,-1,1,"Melbourne",2011
3044,"Termination (HR checklist)","Contract Expired","Commercial Accounting",2012-03-31,-1,1,"Melbourne",2012
3045,"Auto Terminations","Dismissal","Sales & Marketing",2011-06-10,-1,1,"Melbourne",2011
3046,"Auto Terminations","Contract Expired","Plant Reliability Sydney",2015-03-03,-1,1,"Sydney",2015
3047,"Auto Terminations","Resignation","New Product Development",2014-01-25,-1,1,"Melbourne",2014
3050,"Auto Terminations","Retrenchment(2008+)","B Shift",2014-10-02,-1,1,"Adelaide",2014
3052,"Auto Terminations","Retrenchment(2008+)","Marketing Australia",2014-06-28,-1,1,"Melbourne",2014
3053,"Auto Terminations","Resignation","Electrical Services",2013-06-22,-1,1,"Brisbane",2013
3055,"Auto Terminations","Illness Disability","Global Operations Support Centre",2015-08-01,-1,1,"Brisbane",2015
3060,"Termination (HR checklist)","Non SAP company transfer","Operational and Facilities Advancement",2012-05-22,-1,1,"Melbourne",2012
3061,"Termination (HR checklist)","Non SAP company transfer","Monthly Reporting and Planning",2013-04-13,-1,1,"Melbourne",2013
3062,"Auto Terminations","Resignation","E Shift",2012-09-15,-1,1,"Brisbane",2012
3066,"Termination (HR checklist)","Deceased","B Shift",2011-07-03,-1,1,"Melbourne",2011
3067,"Auto Terminations","Resignation","Human Resources",2013-04-11,-1,1,"Melbourne",2013
3068,"Auto Terminations","Resignation","Mould Repair",2014-08-23,-1,1,"Sydney",2014
3069,"Auto Terminations","Contract Expired","Analytical Services",2011-09-03,-1,1,"Melbourne",2011
3071,"Auto Terminations","Resignation","Wine Segment",2015-01-08,-1,1,"Sydney",2015
3072,"Auto Terminations","Resignation","Beer Segment O-I Australia",2013-04-19,-1,1,"Melbourne",2013
3073,"Auto Terminations","Resignation","Applications",2015-04-15,-1,1,"Melbourne",2015
3077,"Auto Terminations","Dismissal","E Shift",2011-09-27,-1,1,"Melbourne",2011
3080,"Auto Terminations","Resignation","Mould Repair",2011-12-31,-1,1,"Brisbane",2011
3081,"Auto Terminations","Retrenchment(2008+)","New Product Development",2016-02-16,-1,1,"Melbourne",2016
3082,"Auto Terminations","Resignation","Food & NAB Segment",2012-12-01,-1,1,"Sydney",2012
3084,"Auto Terminations","Retrenchment(2008+)","B Shift",2014-10-02,-1,1,"Adelaide",2014
3086,"Auto Terminations","Resignation","Sales & Marketing",2012-12-15,-1,1,"Melbourne",2012
3087,"Auto Terminations","Retrenchment(2008+)","Supply Chain",2015-03-02,-1,1,"Melbourne",2015
3089,"Auto Terminations","Contract Expired","B Shift",2011-11-09,-1,1,"Melbourne",2011
3091,"Auto Terminations","Dismissal","National Planning",2013-12-01,-1,1,"Melbourne",2013
3093,"Auto Terminations","Resignation","Engineering",2012-03-10,-1,1,"Sydney",2012
3094,"Auto Terminations","Resignation","Manufacturing",2016-07-09,-1,1,"Sydney",2016
3102,"Auto Terminations","Resignation","Supply Chain O-I Asia Pacific",2017-12-16,-1,1,"Melbourne",2017
3103,"Auto Terminations","Resignation","Commercial Accounting",2012-09-05,-1,1,"Melbourne",2012
3105,"Auto Terminations","Resignation","Regional Integrated Operations",2014-01-01,-1,1,"Melbourne",2014
3106,"Auto Terminations","Retrenchment(2008+)","Job Change",2012-06-15,-1,1,"Adelaide",2012
3109,"Termination (HR checklist)","Resignation","ANZ Logistics",2017-07-15,-1,1,"Melbourne",2017
3110,"Termination (HR checklist)","Deceased","Plant Procedures & Specifications (ISO)",2012-10-08,-1,1,"Melbourne",2012
3111,"Auto Terminations","Resignation","Service Desk AP",2015-10-31,-1,1,"Melbourne",2015
3113,"Auto Terminations","Retrenchment(2008+)","Human Resources",2013-11-30,-1,1,"Sydney",2013
3115,"Auto Terminations","Resignation","Customer Technical Services",2012-08-15,-1,1,"Brisbane",2012
3117,"Auto Terminations","Resignation","Applications",2014-05-01,-1,1,"Melbourne",2014
3119,"Auto Terminations","Resignation","National Planning",2013-04-27,-1,1,"Melbourne",2013
3120,"Auto Terminations","Resignation","Plant Reliability",2013-06-29,-1,1,"Melbourne",2013
3121,"Termination (HR checklist)","Non SAP company transfer","O-I Asia Pacific",2015-06-02,-1,1,"Melbourne",2015
3123,"Auto Terminations","Resignation","Australian Financial Operations",2017-03-01,-1,1,"Melbourne",2017
3126,"Auto Terminations","Resignation","Environment, Health, Safety and Risk",2012-09-22,-1,1,"Adelaide",2012
3128,"Auto Terminations","Resignation","Accounts Payable",2017-11-18,-1,1,"Melbourne",2017
3129,"Auto Terminations","Resignation","Batch & Furnace",2016-04-16,-1,1,"Brisbane",2016
3131,"Auto Terminations","Contract Expired","Plant Reliability",2016-11-07,-1,1,"Brisbane",2016
3133,"Termination (HR checklist)","Deceased","Business Services",2012-09-13,-1,1,"Adelaide",2012
3134,"Termination (HR checklist)","Deceased","Business Services",2012-12-01,-1,1,"Adelaide",2012
3135,"Auto Terminations","Resignation","Human Resources O-I Asia Pacific",2015-03-21,-1,1,"Melbourne",2015
3136,"Auto Terminations","Resignation","Sales & Marketing",2012-11-01,-1,1,"Melbourne",2012
3137,"Auto Terminations","Resignation","Human Resources O-I Asia Pacific",2014-04-01,-1,1,"Melbourne",2014
3138,"Auto Terminations","Resignation","Service Desk AP",2016-03-19,-1,1,"Melbourne",2016
3140,"Auto Terminations","Resignation","Distribution",2016-12-10,-1,1,"Melbourne",2016
3141,"Auto Terminations","Resignation","Integrated Systems & Risk",2013-09-11,-1,1,"Adelaide",2013
3142,"Auto Terminations","Resignation","Batch & Furnace",2013-10-24,-1,1,"Sydney",2013
3143,"Auto Terminations","Contract Expired","Analytical Services",2012-12-01,-1,1,"Melbourne",2012
3145,"Auto Terminations","Resignation","Mechanical Services",2013-01-23,-1,1,"Brisbane",2013
3146,"Auto Terminations","Retrenchment(2008+)","Information Technology O-I AP",2017-11-25,-1,1,"Melbourne",2017
3149,"Auto Terminations","Resignation","Shared Services",2015-05-16,-1,1,"Melbourne",2015
3150,"Auto Terminations","Resignation","Procurement",2016-03-05,-1,1,"Melbourne",2016
3152,"Auto Terminations","Retrenchment(2008+)","Mould and Machine Maintenance",2014-10-02,-1,1,"Adelaide",2014
3153,"Termination (HR checklist)","Contract Expired","O-I Asia Pacific",2013-01-12,-1,1,"Melbourne",2013
3154,"Auto Terminations","Resignation","Integrated Systems & Risk",2014-07-22,-1,1,"Adelaide",2014
3155,"Auto Terminations","Resignation","Distribution - Queensland",2017-07-08,-1,1,"Brisbane",2017
3156,"Auto Terminations","Resignation","Commercial Accounting",2013-01-26,-1,1,"Melbourne",2013
3157,"Auto Terminations","Resignation","Distribution",2015-09-26,-1,1,"Sydney",2015
3158,"Auto Terminations","Contract Expired","Distribution",2017-01-01,-1,1,"Melbourne",2017
3159,"Auto Terminations","Retrenchment(2008+)","Sales & Marketing O-I Australia",2017-05-01,-1,1,"Melbourne",2017
3160,"Auto Terminations","Retrenchment(2008+)","Accounts Payable",2018-10-02,-1,1,"Melbourne",2018
3161,"Auto Terminations","Resignation","Commercial Accounting",2013-02-23,-1,1,"Melbourne",2013
3162,"Auto Terminations","Contract Expired","Business Services",2015-01-01,-1,1,"Adelaide",2015
3163,"Auto Terminations","Resignation","Shared Services",2014-11-18,-1,1,"Melbourne",2014
3166,"Auto Terminations","Contract Expired","Business Services Melbourne",2015-12-01,-1,1,"Melbourne",2015
3168,"Auto Terminations","Dismissal","UPM3 C Shift",2016-08-09,-1,1,"Melbourne",2016
3170,"Auto Terminations","Dismissal","Commercial Accounting",2013-11-01,-1,1,"Melbourne",2013
3171,"Auto Terminations","Contract Expired","Regional Integrated Operations",2014-05-01,-1,1,"Melbourne",2014
3173,"Auto Terminations","Resignation","Shared Services",2013-11-30,-1,1,"Melbourne",2013
3174,"Auto Terminations","Resignation","Human Resources O-I Asia Pacific",2013-06-25,-1,1,"Melbourne",2013
3175,"Auto Terminations","Resignation","Human Resources",2015-04-11,-1,1,"Brisbane",2015
3176,"Auto Terminations","Resignation","Job Change Team",2018-02-12,-1,1,"Brisbane",2018
3177,"Auto Terminations","Resignation","Procurement",2016-04-09,-1,1,"Melbourne",2016
3178,"Auto Terminations","Resignation","Beer Segment O-I Australia",2015-12-17,-1,1,"Melbourne",2015
3179,"Auto Terminations","Contract Expired","UPM4 D Shift",2014-01-01,-1,1,"Melbourne",2014
3181,"Auto Terminations","Dismissal","Integrates Systems and Risk C Shift",2017-07-12,-1,1,"Melbourne",2017
3185,"Auto Terminations","Contract Expired","Glass and Materials Advancement",2013-11-01,-1,1,"Melbourne",2013
3186,"Auto Terminations","Retrenchment(2008+)","Human Resources Shared Services",2018-03-01,-1,1,"Melbourne",2018
3191,"Auto Terminations","Dismissal","Job Change",2013-11-05,-1,1,"Adelaide",2013
3192,"Auto Terminations","Retrenchment(2008+)","Job Change",2014-10-02,-1,1,"Adelaide",2014
3193,"Auto Terminations","Retrenchment(2008+)","Job Change",2014-10-15,-1,1,"Adelaide",2014
3194,"Auto Terminations","Dismissal","Job Change",2013-11-19,-1,1,"Adelaide",2013
3197,"Auto Terminations","Resignation","Electrical Services",2013-09-21,-1,1,"Brisbane",2013
3201,"Auto Terminations","Dismissal","Integrated Systems and Risk",2013-11-01,-1,1,"Brisbane",2013
3202,"Termination (HR checklist)","Dismissal","Regional Integrated Operations",2016-02-13,-1,1,"Melbourne",2016
3203,"Termination (HR checklist)","Resignation","Regional Integrated Operations",2016-03-01,-1,1,"Melbourne",2016
3204,"Auto Terminations","Retrenchment(2008+)","Plant Controls Brisbane",2017-12-30,-1,1,"Brisbane",2017
3205,"Auto Terminations","Resignation","Commercial",2014-03-27,-1,1,"Melbourne",2014
3206,"Auto Terminations","Dismissal","Maintenance Day Trades",2014-03-14,-1,1,"Melbourne",2014
3207,"Auto Terminations","Resignation","Electrical Services",2014-06-06,-1,1,"Brisbane",2014
3212,"Auto Terminations","Retrenchment(2008+)","O-I Australia",2017-02-18,-1,1,"Melbourne",2017
3213,"Auto Terminations","Resignation","EH&S Brisbane",2017-09-09,-1,1,"Brisbane",2017
3216,"Auto Terminations","Retrenchment(2008+)","B Shift",2015-07-09,-1,1,"Adelaide",2015
3217,"Auto Terminations","Resignation","Human Resources O-I Asia Pacific",2016-04-28,-1,1,"Melbourne",2016
3218,"Auto Terminations","Resignation","Plant Reliability",2015-10-24,-1,1,"Brisbane",2015
3219,"Auto Terminations","Resignation","Human Resources",2014-08-01,-1,1,"Sydney",2014
3220,"Auto Terminations","Contract Expired","Commercial",2014-08-15,-1,1,"Melbourne",2014
3221,"Termination (HR checklist)","Resignation","Commercial Accounting",2016-12-17,-1,1,"Melbourne",2016
3222,"Auto Terminations","Resignation","Business Services",2015-04-04,-1,1,"Brisbane",2015
3224,"Auto Terminations","Contract Expired","Shared Services",2014-06-28,-1,1,"Melbourne",2014
3225,"Auto Terminations","Resignation","Unit Plant Management",2018-09-14,-1,1,"Melbourne",2018
3227,"Auto Terminations","Retrenchment(2008+)","D Shift",2014-10-02,-1,1,"Adelaide",2014
3228,"Auto Terminations","Resignation","Electrical Services",2014-06-19,-1,1,"Brisbane",2014
3229,"Termination (HR checklist)","Non SAP company transfer","O-I Asia Pacific",2018-03-16,-1,1,"Melbourne",2018
3230,"Auto Terminations","Retrenchment(2008+)","Integrated Systems and Risk",2016-04-11,-1,1,"Melbourne",2016
3231,"Auto Terminations","Resignation","Human Resources",2014-08-02,-1,1,"Brisbane",2014
3233,"Auto Terminations","Resignation","Commercial Accounting",2014-11-04,-1,1,"Melbourne",2014
3234,"Auto Terminations","Resignation","ELECTRICIAN",2015-01-17,-1,1,"Sydney",2015
3235,"Auto Terminations","Resignation","National Planning",2016-05-31,-1,1,"Adelaide",2016
3238,"Auto Terminations","Resignation","Sales & Marketing",2017-01-01,-1,1,"Melbourne",2017
3239,"Auto Terminations","Resignation","Regional Engineering",2017-11-01,-1,1,"Melbourne",2017
3240,"Auto Terminations","Resignation","Batch & Furnace",2017-01-18,-1,1,"Sydney",2017
3244,"Auto Terminations","Resignation","Maintenance",2018-11-17,-1,1,"Adelaide",2018
3245,"Auto Terminations","Resignation","Commercial",2016-01-19,-1,1,"Melbourne",2016
3246,"Auto Terminations","Retrenchment(2008+)","Learning and Development",2018-05-01,-1,1,"Adelaide",2018
3250,"Auto Terminations","Resignation","Strategy and Integration O-I AP",2019-04-13,-1,1,"Melbourne",2019
3251,"Auto Terminations","Resignation","Human Resources",2014-09-06,-1,1,"Melbourne",2014
3253,"Termination (HR checklist)","Resignation","Sales & Marketing O-I Australia",2017-06-17,-1,1,"Melbourne",2017
3255,"Auto Terminations","Resignation","Plant Controls Melbourne",2018-01-06,-1,1,"Melbourne",2018
3257,"Auto Terminations","Resignation","Electrical Services",2014-09-08,-1,1,"Brisbane",2014
3259,"Auto Terminations","Dismissal","Integrated Systems and Risk",2014-08-16,-1,1,"Brisbane",2014
3260,"Auto Terminations","Contract Expired","Procurement",2014-09-16,-1,1,"Melbourne",2014
3262,"Auto Terminations","Resignation","Regional Procurement",2018-03-29,-1,1,"Melbourne",2018
3265,"Auto Terminations","Resignation","Distribution - Queensland",2015-04-18,-1,1,"Brisbane",2015
3267,"Auto Terminations","Resignation","Pricing O-I Asia Pacific",2017-09-21,-1,1,"Melbourne",2017
3268,"Auto Terminations","Retrenchment(2008+)","Business Planning",2016-12-01,-1,1,"Melbourne",2016
3269,"Auto Terminations","Contract Expired","General Maintenance",2018-08-10,-1,1,"Melbourne",2018
3270,"Auto Terminations","Dismissal","Distribution - Queensland",2018-01-18,-1,1,"Brisbane",2018
3271,"Auto Terminations","Resignation","UPM4 D Shift",2017-06-01,-1,1,"Melbourne",2017
3272,"Auto Terminations","Resignation","Service Desk AP",2016-02-05,-1,1,"Melbourne",2016
3273,"Termination (HR checklist)","Resignation","Customer Technical Services",2017-12-13,-1,1,"Sydney",2017
3275,"Auto Terminations","Resignation","General Maintenace",2016-11-20,-1,1,"Melbourne",2016
3278,"Auto Terminations","Retrenchment(2008+)","Shared Services",2019-01-12,-1,1,"Melbourne",2019
3280,"Auto Terminations","Resignation","Human Resources",2016-05-01,-1,1,"Melbourne",2016
3281,"Auto Terminations","Resignation","Brisbane Cullet Pty Ltd",2017-06-17,-1,1,"Brisbane",2017
3284,"Auto Terminations","Contract Expired","UPM3",2016-04-01,-1,1,"Melbourne",2016
3288,"Auto Terminations","Resignation","Integrated Systems and Risk",2016-03-01,-1,1,"Melbourne",2016
3291,"Auto Terminations","Resignation","Business Services",2016-10-26,-1,1,"Brisbane",2016
3292,"Auto Terminations","Contract Expired","Commercial Accounting",2015-01-17,-1,1,"Melbourne",2015
3293,"Auto Terminations","Resignation","Inspection & Packaging Engineering",2017-12-28,-1,1,"Brisbane",2017
3295,"Auto Terminations","Resignation","Shift C",2018-05-24,-1,1,"Melbourne",2018
3298,"Auto Terminations","Dismissal","Inspection & Packaging Engineering",2015-03-21,-1,1,"Brisbane",2015
3299,"Auto Terminations","Resignation","Plant Electrical Sydney",2019-01-18,-1,1,"Sydney",2019
3302,"Auto Terminations","Resignation","Forming Job Change",2015-07-01,-1,1,"Sydney",2015
3303,"Termination (HR checklist)","Retrenchment","Strategy and PMO",2017-12-01,-1,1,"Melbourne",2017
3304,"Auto Terminations","Resignation","Sales & Marketing O-I Australia",2016-09-10,-1,1,"Melbourne",2016
3305,"Auto Terminations","Non SAP Company Transfer","Batch & Furnace",2017-04-01,-1,1,"Melbourne",2017
3310,"Auto Terminations","Resignation","Job Change",2018-05-06,-1,1,"Sydney",2018
3312,"Auto Terminations","Retrenchment(2008+)","Human Resources Brisbane",2018-01-23,-1,1,"Brisbane",2018
3313,"Auto Terminations","Resignation","Plant Reliability",2015-04-18,-1,1,"Brisbane",2015
3314,"Auto Terminations","Resignation","Forming Maintenance",2015-09-24,-1,1,"Brisbane",2015
3316,"Auto Terminations","Resignation","Batch & Furnace",2017-10-06,-1,1,"Brisbane",2017
3317,"Auto Terminations","Resignation","Electrical Maintenance",2017-07-20,-1,1,"Melbourne",2017
3318,"Termination (HR checklist)","Contract Expired","Occupational Health & Safety",2015-04-20,-1,1,"Melbourne",2015
3319,"Auto Terminations","Resignation","Plant Mechanical Maintenance",2016-12-03,-1,1,"Brisbane",2016
3323,"Auto Terminations","Retrenchment(2008+)","Monthly Reporting and Planning",2017-04-29,-1,1,"Melbourne",2017
3325,"Auto Terminations","Abandonment","Distribution - Queensland",2017-04-11,-1,1,"Brisbane",2017
3329,"Auto Terminations","Dismissal","Unit Plant QG33",2018-04-05,-1,1,"Brisbane",2018
3330,"Auto Terminations","Resignation","Production Support",2015-08-05,-1,1,"Brisbane",2015
3331,"Auto Terminations","Resignation","Monthly Reporting and Planning",2016-01-07,-1,1,"Melbourne",2016
3334,"Auto Terminations","Resignation","Plant Reliability",2017-08-05,-1,1,"Brisbane",2017
3336,"Auto Terminations","Dismissal","Brisbane Cullet Pty Ltd",2016-05-20,-1,1,"Brisbane",2016
3338,"Auto Terminations","Dismissal","Commercial",2015-09-17,-1,1,"Melbourne",2015
3339,"Auto Terminations","Resignation","Quantum_RTR",2018-06-02,-1,1,"Melbourne",2018
3342,"Auto Terminations","Deceased","Integrates Systems and Risk C Shift",2015-08-12,-1,1,"Melbourne",2015
3347,"Auto Terminations","Contract Expired","Business Services",2015-11-01,-1,1,"Adelaide",2015
3349,"Auto Terminations","Resignation","Business Services",2016-07-22,-1,1,"Adelaide",2016
3353,"Auto Terminations","Contract Expired","Human Resources O-I Asia Pacific",2017-03-01,-1,1,"Melbourne",2017
3354,"Auto Terminations","Resignation","Plant Reliability",2017-05-01,-1,1,"Melbourne",2017
3358,"Auto Terminations","Resignation","Pack Centre",2015-12-17,-1,1,"Melbourne",2015
3361,"Auto Terminations","Retrenchment(2008+)","Accounts Payable",2018-10-20,-1,1,"Melbourne",2018
3362,"Auto Terminations","Retrenchment(2008+)","Human Resources",2017-06-22,-1,1,"Brisbane",2017
3362,"Auto Terminations","Retrenchment(2008+)","O-I Brisbane Plant",2017-06-22,-1,1,"Brisbane",2017
3363,"Auto Terminations","Resignation","Electrical Engineering",2018-11-24,-1,1,"Melbourne",2018
3367,"Termination (HR checklist)","Non SAP company transfer","O-I Australia",2017-04-01,-1,1,"Melbourne",2017
3368,"Auto Terminations","Retrenchment(2008+)","ANZ Planning",2018-03-31,-1,1,"Adelaide",2018
3369,"Auto Terminations","Resignation","Procurement",2016-05-28,-1,1,"Melbourne",2016
3372,"Auto Terminations","Contract Expired","Monthly Reporting and Planning",2017-04-29,-1,1,"Melbourne",2017
3374,"Auto Terminations","Non SAP Company Transfer","Manufacturing",2018-02-01,-1,1,"Melbourne",2018
3375,"Auto Terminations","Resignation","O-I Brisbane Plant",2017-08-19,-1,1,"Brisbane",2017
3379,"Auto Terminations","Retrenchment(2008+)","Distribution - Queensland",2017-11-04,-1,1,"Brisbane",2017
3382,"Auto Terminations","Non SAP Company Transfer","Monthly Reporting and Planning",2019-01-31,-1,1,"Melbourne",2019
3383,"Auto Terminations","Resignation","Pack Centre",2016-06-16,-1,1,"Melbourne",2016
3384,"Auto Terminations","Resignation","Pack Centre",2016-02-04,-1,1,"Melbourne",2016
3387,"Auto Terminations","Resignation","O-I Adelaide Plant",2017-02-24,-1,1,"Adelaide",2017
3389,"Auto Terminations","Resignation","Manufacturing",2017-06-16,-1,1,"Sydney",2017
3390,"Auto Terminations","Resignation","Business Planning",2017-04-14,-1,1,"Melbourne",2017
3392,"Auto Terminations","Resignation","A Shift",2016-11-12,-1,1,"Brisbane",2016
3393,"Auto Terminations","Resignation","EH&S Brisbane",2018-05-26,-1,1,"Brisbane",2018
3397,"Auto Terminations","Resignation","Occupational Health & Safety",2017-08-10,-1,1,"Melbourne",2017
3402,"Auto Terminations","Resignation","Mechanical Engineering",2018-11-07,-1,1,"Melbourne",2018
3404,"Auto Terminations","Resignation","Procurement Administration",2017-12-05,-1,1,"Brisbane",2017
3404,"Auto Terminations","Resignation","Procurement Administration",2017-12-05,-1,1,"Brisbane",2017
3407,"Auto Terminations","Resignation","Occupational Health & Safety",2016-10-01,-1,1,"Melbourne",2016
3408,"Auto Terminations","Resignation","Customer Services",2017-08-05,-1,1,"Melbourne",2017
3415,"Auto Terminations","Retrenchment(2008+)","O-I Asia Pacific",2018-05-02,-1,1,"Melbourne",2018
3420,"Auto Terminations","Resignation","Inspection & Packaging Engineering",2017-03-25,-1,1,"Brisbane",2017
3422,"Auto Terminations","Dismissal","Business Services Melbourne",2016-08-20,-1,1,"Melbourne",2016
3424,"Auto Terminations","Resignation","Service Desk AP",2018-09-22,-1,1,"Melbourne",2018
3426,"Auto Terminations","Resignation","Procurement",2017-04-22,-1,1,"Melbourne",2017
3429,"Auto Terminations","Resignation","Job Change",2016-12-08,-1,1,"Brisbane",2016
3437,"Auto Terminations","Resignation","Sales & Marketing O-I Australia",2017-06-01,-1,1,"Melbourne",2017
3440,"Auto Terminations","Resignation","Unit Plant QG12",2017-07-15,-1,1,"Brisbane",2017
3441,"Auto Terminations","Retrenchment(2008+)","Plant Controls Adelaide",2019-06-01,-1,1,"Adelaide",2019
3443,"Auto Terminations","Resignation","Strategic Sourcing and Demand",2018-08-11,-1,1,"Melbourne",2018
3444,"Auto Terminations","Contract Expired","Integrated Systems and Risk",2017-04-22,-1,1,"Brisbane",2017
3446,"Auto Terminations","Resignation","ANZ Planning",2018-11-17,-1,1,"Melbourne",2018
3451,"Auto Terminations","Retrenchment(2008+)","Integrated Systems and Risk",2017-07-16,-1,1,"Melbourne",2017
3454,"Auto Terminations","Contract Expired","Monthly Reporting and Planning",2018-06-05,-1,1,"Melbourne",2018
3455,"Auto Terminations","Dismissal","New Product Development",2017-06-03,-1,1,"Melbourne",2017
3457,"Auto Terminations","Retrenchment(2008+)","Quantum_ITF",2018-12-01,-1,1,"Melbourne",2018
3458,"Auto Terminations","Resignation","Human Resources O-I Asia Pacific",2017-06-20,-1,1,"Melbourne",2017
3459,"Auto Terminations","Resignation","Human Resources O-I Asia Pacific",2017-06-24,-1,1,"Melbourne",2017
3459,"Auto Terminations","Resignation","Learning and Development",2017-06-24,-1,1,"Melbourne",2017
3460,"Auto Terminations","Retrenchment(2008+)","Operations O-I Australia",2017-12-16,-1,1,"Melbourne",2017
3463,"Auto Terminations","Resignation","Plant Maintenance",2018-10-06,-1,1,"Brisbane",2018
3464,"Auto Terminations","Resignation","Quantum_Master Data",2018-12-01,-1,1,"Melbourne",2018
3465,"Auto Terminations","Resignation","Occupational Health & Safety",2017-09-30,-1,1,"Melbourne",2017
3472,"Termination (HR checklist)","Non SAP company transfer","Service Desk AP",2017-07-08,-1,1,"Melbourne",2017
3473,"Auto Terminations","Resignation","ANZ Logistics",2017-08-01,-1,1,"Melbourne",2017
3474,"Auto Terminations","Resignation","Regional Engineering",2017-10-29,-1,1,"Melbourne",2017
3476,"Auto Terminations","Resignation","Batch & Furnace",2018-12-15,-1,1,"Melbourne",2018
3479,"Auto Terminations","Retrenchment(2008+)","Operational Capability",2017-12-16,-1,1,"Brisbane",2017
3481,"Auto Terminations","Resignation","Quality",2018-09-29,-1,1,"Adelaide",2018
3483,"Auto Terminations","Resignation","Business Controlling",2018-11-24,-1,1,"Melbourne",2018
3484,"Termination (HR checklist)","Resignation","Strategy and Integration O-I AP",2017-07-01,-1,1,"Melbourne",2017
3485,"Auto Terminations","Retrenchment(2008+)","Performance Improvement",2017-12-16,-1,1,"Sydney",2017
3486,"Auto Terminations","Resignation","Plant Controls Brisbane",2018-04-28,-1,1,"Brisbane",2018
3487,"Auto Terminations","Retrenchment(2008+)","Change Management",2017-12-16,-1,1,"Melbourne",2017
