Pers.no.,Action Type,Reason for Action,Company Code,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action,End date Action,Organizational Key,Position,Date
10000821,Hire Employee,Fill temporary absence,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Wages Other,1300,NZ Finance,Finance,1/04/2019,31/12/9999,Finance,Temporary Plant Accountant,1/04/2019
10000821,Hire Employee,Fill temporary absence,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Wages Other,1270,NZ Manufacturing,Finance,1/04/2019,31/12/9999,Finance,Temporary Plant Accountant,1/04/2019
10000822,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Wages Other,1300,NZ Finance,Finance,30/04/2019,31/12/9999,Finance,Temporary Plant Accountant,30/04/2019
10000822,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Wages Other,1270,NZ Manufacturing,Finance,30/04/2019,31/12/9999,Finance,Temporary Plant Accountant,30/04/2019
10000823,Hire Employee,New position,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Wages Other,1270,NZ Manufacturing,Unit Plant Management,6/05/2019,15/06/2019,Manufacturing & Engineering,Temporary AK2 Production Support,6/05/2019
10000824,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1190,NZ Resort,Temporary Resort,13/05/2019,31/12/9999,Manufacturing & Engineering,Temporary Resorter,13/05/2019
10000825,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1190,NZ Resort,Temporary Resort,13/05/2019,31/12/9999,Manufacturing & Engineering,Temporary Resorter,13/05/2019
10000826,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1190,NZ Resort,Temporary Resort,13/05/2019,31/12/9999,Manufacturing & Engineering,Temporary Resorter,13/05/2019
10000827,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1130,NZ Forming,Forming C Shift,20/05/2019,31/12/9999,Manufacturing & Engineering,Bottle Machine Operator Grade 2,20/05/2019
10000828,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1130,NZ Forming,Forming A Shift,10/06/2019,31/12/9999,Manufacturing & Engineering,Bottle Machine Operator Grade 2,10/06/2019
10000829,Hire Employee,Fill temporary absence,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1160,NZ Inspect,Finished Products C Shift,24/06/2019,31/12/9999,Manufacturing & Engineering,Temporary  MSO Trainee,24/06/2019
10000830,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1130,NZ Forming,Forming D Shift,24/06/2019,31/12/9999,Manufacturing & Engineering,Bottle Machine Operator Grade 2,24/06/2019
00002200,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5260,ADE Plant Reliabilit,Electrical Engineering,2/09/2002,9/09/2014,,Electrical Engineer,2/09/2002
00002253,Hire Employee,New position,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6050,BNE Production Suppo,Mould and IS Repair,10/02/2003,31/12/9999,,IS and Mould Repair Manager,10/02/2003
00002253,Hire Employee,New position,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6210,BNE Mould Repair,Mould Repair,10/02/2003,31/12/9999,Manufacturing & Engineering,Mould Repair Manager,10/02/2003
00002314,Rehire,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,O-I Asia Pacific,27/11/2004,31/12/9999,,Receptionist PM,27/11/2004
00002314,Rehire,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Admin and Facilities O-I Asia Pacific,27/11/2004,31/12/9999,Administration & Facilities,Receptionist PM,27/11/2004
00002314,Rehire,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Admin and Facilities O-I Asia Pacific,27/11/2004,31/12/9999,Administration & Facilities,Receptionist,27/11/2004
00002357,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5300,ADE Business Service,Business Services,31/05/2004,31/12/9999,Finance,Management Accountant,31/05/2004
00002357,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5300,ADE Business Service,Plant Controls Adelaide,31/05/2004,31/12/9999,Finance,Management Accountant,31/05/2004
00002395,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5300,ADE Business Service,Business Services,1/11/2004,10/04/2014,,Business Services Manager,1/11/2004
00002439,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4330,OIAP StrategSourcing,Procurement,14/06/2005,18/03/2014,,Strategic Sourcing Coordinator,14/06/2005
00002453,Hire Employee,New position,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6290,BNE HR & Training,Human Resources,22/08/2005,2/07/2017,,Human Resources Manager,22/08/2005
00002453,Hire Employee,New position,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6290,BNE HR & Training,Human Resources Brisbane,22/08/2005,2/07/2017,Human Resources,Human Resources Manager,22/08/2005
00002493,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4330,OIAP StrategSourcing,Procurement,20/03/2006,3/07/2018,,Strategic Sourcing Manager,20/03/2006
00002493,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4330,OIAP StrategSourcing,Procurement,20/03/2006,3/07/2018,,Strategic Sourcing Manager,20/03/2006
00002493,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4330,OIAP StrategSourcing,Strategic Sourcing,20/03/2006,3/07/2018,Supply Chain,Regional Strategic Sourcing Lead,20/03/2006
00002493,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4446,Reg SupplyChain Proc,Strategic Sourcing,20/03/2006,3/07/2018,Supply Chain,Regional Strategic Sourcing Lead,20/03/2006
00002494,Hire Employee,Non SAP company transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources O-I Asia Pacific,1/04/2006,1/07/2015,,Employee Relations Manager,10/02/2003
00002494,Hire Employee,Non SAP company transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4270,OIAP Manufacturing,Human Resources O-I Asia Pacific,1/04/2006,1/07/2015,,Employee Relations Manager,10/02/2003
00002497,Hire Employee,New position,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9200,SYD Decorate & Label,ACL Printing,10/04/2006,29/05/2015,,ACL Printing Manager,10/04/2006
00002538,Hire Employee,New position,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9200,SYD Decorate & Label,ACL Printing,12/08/2006,11/09/2015,,ACL Maintenance Manager,12/08/2006
00002655,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5260,ADE Plant Reliabilit,Mechanical Engineering,10/09/2007,31/12/9999,,Mechanical Engineer,10/09/2007
00002655,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5260,ADE Plant Reliabilit,Plant Maintenance,10/09/2007,31/12/9999,Manufacturing & Engineering,Maintenance Manager,10/09/2007
00002655,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5260,ADE Plant Reliabilit,Maintenance,10/09/2007,31/12/9999,Manufacturing & Engineering,Maintenance Manager,10/09/2007
00002665,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4570,OIAP Distribution,Distribution - South Australia,22/10/2007,31/08/2018,,Distribution Manager - SA,22/10/2007
00002665,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4570,OIAP Distribution,ANZ Logistics,22/10/2007,31/08/2018,Supply Chain,Distribution Manager - SA,22/10/2007
00002682,Hire Employee,New position,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6260,BNE Plant Reliabilit,Electrical Services,19/12/2007,31/12/9999,,Electrical Engineer,19/12/2007
00002682,Hire Employee,New position,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6260,BNE Plant Reliabilit,Electrical Services,19/12/2007,31/12/9999,Manufacturing & Engineering,Electrical Maintenance Manager,19/12/2007
00002682,Hire Employee,New position,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6260,BNE Plant Reliabilit,Electrical Services,19/12/2007,31/12/9999,Manufacturing & Engineering,Electrical  Engineer,19/12/2007
00002714,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,O-I Asia Pacific,17/03/2008,31/12/9999,,Receptionist AM,17/03/2008
00002714,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Admin and Facilities O-I Asia Pacific,17/03/2008,31/12/9999,Administration & Facilities,Receptionist AM,17/03/2008
00002714,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Admin and Facilities O-I Asia Pacific,17/03/2008,31/12/9999,Administration & Facilities,Receptionist,17/03/2008
00002811,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9290,SYD HR & Training,Human Resources,10/11/2008,31/01/2014,,Employee Development Manager,10/11/2008
00002817,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7260,MEL Plant Reliabilit,Engineering Services,22/12/2008,31/12/9999,,Electrical Supervisor,22/12/2008
00002817,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7220,MEL Maint - General,Plant Reliability,22/12/2008,31/12/9999,,Electrical Supervisor,22/12/2008
00002817,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7220,MEL Maint - General,Electrical Maintenance,22/12/2008,31/12/9999,Manufacturing & Engineering,Electrical Supervisor,22/12/2008
00002826,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9300,SYD Business Service,Business Services,19/01/2009,7/08/2018,,Business Services Manager,19/01/2009
00002826,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9300,SYD Business Service,Business Services,19/01/2009,7/08/2018,Finance,Plant Controller,19/01/2009
00002831,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4300,OI Financial Opers,Commercial Accounting,2/02/2009,11/04/2014,,Operations Accountant,2/02/2009
00002877,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4375,AU Sales & Marketing,Beer Segment O-I Australia,11/11/2009,16/09/2015,,Senior Sales Account Manager (VIC),11/11/2009
00002881,Hire Employee,New position,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,4375,AU Sales & Marketing,Wine Segment,11/11/2009,7/08/2015,,Senior Sales Account Manager (SA),11/11/2009
00002901,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6260,BNE Plant Reliabilit,Engineering,1/03/2010,17/08/2014,,Plant Engineering Manager,1/03/2010
00002915,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6300,BNE Business Service,Business Services,19/04/2010,4/02/2014,,Procurement Coordinator,19/04/2010
00002946,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9816,SYD SP32 MachineLine,Manufacturing,21/06/2010,28/11/2014,,Line Manager,21/06/2010
00002953,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,TAS - GPA - Staff,Lutana Day,4280,OIAP Cust Tech Serv,Customer Technical Services Australia,12/07/2010,31/03/2015,,PRODUCT QUALITY ENGINEER,12/07/2010
00002953,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,TAS - GPA - Staff,Lutana Day,4320,OIAP Manuf Ops,Customer Technical Services Australia,12/07/2010,31/03/2015,,PRODUCT QUALITY ENGINEER,12/07/2010
00002963,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Information Technology,23/08/2010,31/12/2014,,Project Manager,23/08/2010
00002981,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7260,MEL Plant Reliabilit,Engineering Services,4/10/2010,4/05/2014,,Process Control Engineer,4/10/2010
00002981,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7050,MEL Production Suppo,Plant Reliability,4/10/2010,4/05/2014,,Process Control Engineer,4/10/2010
00002985,Hire Employee,New position,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9300,SYD Business Service,Business Services,25/10/2010,29/02/2016,,Stores Controller,25/10/2010
00002990,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources O-I Asia Pacific,6/12/2010,8/08/2014,,HR and Training Administrator,6/12/2010
00003011,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4330,OIAP StrategSourcing,Procurement,17/01/2011,30/06/2014,,Strategic Sourcing Coordinator,17/01/2011
00003018,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,A Shift,7/02/2011,6/07/2014,,MULTI SKILLED OPERATOR,7/02/2011
00003035,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,28/03/2011,6/07/2014,,Inspector,28/03/2011
00003038,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Information Technology,11/04/2011,31/01/2014,,Administrative Assistant - IT,11/04/2011
00003047,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4365,OIAP Market & Sales,New Product Development,2/05/2011,24/01/2014,,Product Designer,2/05/2011
00003052,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4375,AU Sales & Marketing,Marketing Australia,16/05/2011,27/06/2014,,Customer Back Analyst,16/05/2011
00003065,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6060,BNE Integrated Syste,Integrated Systems and Risk,4/07/2011,27/07/2014,,Quality and Inspection Coordinator,4/07/2011
00003071,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,4375,AU Sales & Marketing,Wine Segment,18/07/2011,7/01/2015,,Sales Representative (NSW),18/07/2011
00003073,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Applications,8/08/2011,2/02/2014,,Analyst Developer,8/08/2011
00003081,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4365,OIAP Market & Sales,New Product Development,22/08/2011,15/02/2016,,Innovation & NPD Administrator,22/08/2011
00003085,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,4375,AU Sales & Marketing,Beer Segment O-I Australia,19/09/2011,31/08/2017,,Marketing Manager - Beer Spirits & RTD,19/09/2011
00003085,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4375,AU Sales & Marketing,Beer Segment O-I Australia,19/09/2011,31/08/2017,,Marketing Manager - Beer Spirits & RTD,19/09/2011
00003085,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4375,AU Sales & Marketing,Sales & Marketing O-I Australia,19/09/2011,31/08/2017,,Marketing Manager - Beer Spirits & RTD,19/09/2011
00003085,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4375,AU Sales & Marketing,Sales & Marketing O-I Australia,19/09/2011,31/08/2017,,Key Account Manager,19/09/2011
00003087,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4400,GPA General Manager,Supply Chain,24/10/2011,1/03/2015,,Director Logistics,24/10/2011
00003092,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9260,SYD Plant Reliabilit,Plant Mechanical Sydney,5/12/2011,31/12/9999,Manufacturing & Engineering,Plant Mechanical Manager,5/12/2011
00003092,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Plant Mechanical Sydney,5/12/2011,31/12/9999,Manufacturing & Engineering,Plant Mechanical Manager,5/12/2011
00003094,Hire Employee,New position,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9260,SYD Plant Reliabilit,Batch & Furnace,3/01/2012,30/11/2014,,Manufacturing Graduate,3/01/2012
00003102,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4820,OIAP Integrated Ops,Procurement,1/03/2012,28/02/2014,,Director Procurement O-I Oceania,1/03/2012
00003104,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4305,APAC Region Finance,Monthly Reporting and Planning,12/03/2012,31/12/9999,,Financial Planning & Analysis Manager,12/03/2012
00003104,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4305,APAC Region Finance,Financial Planning and Analysis,12/03/2012,31/12/9999,Finance,Financial Planning & Analysis Manager,12/03/2012
00003104,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4305,APAC Region Finance,Financial Planning and Analysis,12/03/2012,31/12/9999,Finance,Head of Business Analytics,12/03/2012
00003107,Hire Employee,New position,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9060,SYD Integrated Syste,Mould Repair,1/04/2012,31/12/9999,,Mould Maintenance Coordinator,1/04/2012
00003107,Hire Employee,New position,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9060,SYD Integrated Syste,Quality Services,1/04/2012,31/12/9999,Manufacturing & Engineering,Production Recorder,1/04/2012
00003107,Hire Employee,New position,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Quality Services Sydney,1/04/2012,31/12/9999,Manufacturing & Engineering,Production Recorder,1/04/2012
00003109,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4330,OIAP StrategSourcing,Procurement,26/03/2012,31/01/2014,,Mould Procurement Specialist,26/03/2012
00003111,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Service Desk AP,7/05/2012,30/10/2015,,IT Support Specialist,7/05/2012
00003117,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Applications,28/05/2012,30/04/2014,,Senior Analyst Developer,28/05/2012
00003118,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7210,MEL Mould Repair,Mould Repair,1/06/2012,31/12/9999,Manufacturing & Engineering,Mould Maintenance Coordinator,1/06/2012
00003121,Hire Employee,Non SAP company transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,O-I Asia Pacific,1/07/2012,1/06/2015,,President O-I Asia Pacific,1/07/2012
00003122,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6300,BNE Business Service,Business Services,16/07/2012,31/07/2014,,Plant Controller,16/07/2012
00003123,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4305,APAC Region Finance,Monthly Reporting and Planning,6/08/2012,31/03/2014,,Manager - Business Analysis,6/08/2012
00003128,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4302,OI Shared Services,Shared Services,1/09/2012,31/08/2016,,Accounts Payable Officer,1/09/2012
00003129,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5100,ADE Batch,Batch and Furnace,3/09/2012,31/03/2014,,Batch and Furnace Graduate,3/09/2012
00003137,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4290,APAC HR & Training,Human Resources O-I Asia Pacific,18/09/2012,31/03/2014,,HR Manager Operations & Tech Support,18/09/2012
00003138,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4810,OIAP InformationTech,Service Desk AP,21/10/2012,30/09/2015,,IT Junior Support Specialist,21/10/2012
00003140,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4570,OIAP Distribution,Distribution,22/10/2012,9/12/2016,,National Distribution Manager,22/10/2012
00003140,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4570,OIAP Distribution,Distribution,22/10/2012,9/12/2016,,National Distribution Manager,22/10/2012
00003148,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7300,MEL Business Service,Business Services,26/11/2012,30/06/2014,,Business Services Manager,26/11/2012
00003149,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4302,OI Shared Services,Shared Services,26/11/2012,15/05/2015,,Credit Officer,26/11/2012
00003150,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4330,OIAP StrategSourcing,Procurement,12/11/2012,30/06/2014,,Strategic Sourcing Coordinator,12/11/2012
00003155,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,4570,OIAP Distribution,Distribution - Queensland,7/01/2013,7/07/2017,,Distribution Manager - QLD,7/01/2013
00003157,Hire Employee,Non SAP company transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,4570,OIAP Distribution,Distribution,14/01/2013,25/09/2015,,NSW Distribution Manager,14/01/2013
00003159,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4375,AU Sales & Marketing,Sales & Marketing O-I Australia,14/01/2013,30/04/2017,,Director Sales & Marketing O-I Australia,14/01/2013
00003159,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4375,AU Sales & Marketing,Sales & Marketing O-I Australia,14/01/2013,30/04/2017,,Director Sales & Marketing O-I Australia,14/01/2013
00003159,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4375,AU Sales & Marketing,Sales & Marketing O-I Australia,14/01/2013,30/04/2017,,Director Sales & Marketing O-I Australia,14/01/2013
00003160,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4302,OI Shared Services,Shared Services,14/01/2013,1/01/2014,,Accounts Analyst,14/01/2013
00003162,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5300,ADE Business Service,Business Services,1/02/2013,31/12/2014,,Payroll Officer,1/02/2013
00003163,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4302,OI Shared Services,Shared Services,22/02/2013,17/11/2014,,Credit Officer,22/02/2013
00003164,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5330,ADE Procurement,Business Services,25/02/2013,31/12/9999,Finance,Procurement and Stores Coordinator,25/02/2013
00003164,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5330,ADE Procurement,Strategic Sourcing and Demand,25/02/2013,31/12/9999,Finance,Procurement and Stores Coordinator,25/02/2013
00003164,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5330,ADE Procurement,Plant Controls Adelaide,25/02/2013,31/12/9999,Finance,Procurement and Stores Coordinator,25/02/2013
00003166,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7300,MEL Business Service,Business Services,8/04/2013,30/11/2015,,Management Accountant,8/04/2013
00003167,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9060,SYD Integrated Syste,Occupational Health & Safety,25/03/2013,31/12/9999,Manufacturing & Engineering,SAFETY Manager,25/03/2013
00003167,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Occupational Health & Safety,25/03/2013,31/12/9999,Manufacturing & Engineering,SAFETY Manager,25/03/2013
00003169,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4365,OIAP Market & Sales,New Product Development,29/04/2013,31/03/2017,,Product Design Engineer,29/04/2013
00003171,Hire Employee,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4820,OIAP Integrated Ops,Regional Integrated Operations,7/05/2013,30/04/2014,,RIO Internee,7/05/2013
00003172,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,4570,OIAP Distribution,Distribution - Queensland,6/05/2013,20/09/2015,,Assistant Distribution Manager - Qld,6/05/2013
00003175,Hire Employee,New position,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6290,BNE HR & Training,Human Resources,24/06/2013,10/04/2015,,HR and Administration Specialist,24/06/2013
00003177,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4330,OIAP StrategSourcing,Procurement,17/06/2013,8/04/2016,,Strategic Sourcing & Demand Manager,17/06/2013
00003178,Hire Employee,Fill vacancy,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4375,AU Sales & Marketing,Beer Segment O-I Australia,1/07/2013,16/12/2015,,Key Account Coordinator,1/07/2013
